Response,<$250k,$250k_-_$499k,$500k_-_$999k,$1m+
Ag_magazines_or_newspapers,77,82,83,82
Ag_newsletters_(printed),41,43,46,56
Ag_e-newsletters,30,33,41,53
Ag_websites,23,38,43,54
Ag_TV_programs,36,46,36,26
Ag_radio_programs,29,35,42,34
Ag-related_direct_mail,27,35,43,39
Ag-related_direct_e-mail,18,30,38,45
Ag-related_websites_on_a_mobile_device,12,29,34,43
Ag-related_apps_on_a_mobile_device,10,26,26,33
Ag-related_text_messages,9,24,23,36
Ag_dealers/retailers,11,13,21,19
Ag_manufacturer_or_supplier_publications,13,17,12,19
Ag-related_social_media,9,13,12,14
Ag_consultants,4,7,14,22
Ag-related_webinars,2,1,4,4
