Month,Driving,Walking
Sep_30,37.06,57
Sep_29,33.7,50.81
Sep_28,54.77,67.73
Sep_27,56.04,91.41
Sep_26,63.93,89.29
Sep_25,47.57,76.03
Sep_24,46.53,74.45
Sep_23,45.98,70.85
Sep_22,43.03,62.84
Sep_21,53.61,63.58
Sep_20,56.9,76.54
Sep_19,69.98,79.13
Sep_18,61.01,67.11
Sep_17,52.47,71.23
Sep_16,51.44,69.48
Sep_15,47.35,66.01
Sep_14,55.1,60.65
Sep_13,59.59,84.76
Sep_12,69.22,86.02
Sep_11,54.35,64.64
Sep_10,49.01,63.51
Sep_9,51.74,61.24
Sep_8,52.87,83.06
Sep_7,63.46,80.02
Sep_6,59.28,88.12
Sep_5,74.58,93.21
Sep_4,61.44,93.98
Sep_3,62.91,97.14
Sep_2,72.07,119.79
Sep_1,94.21,149.97
Aug_31,89.55,101.78
Aug_30,89.55,101.78
Aug_29,83.28,96.26
Aug_28,97.25,100.05
Aug_27,86.73,97.45
Aug_26,81.22,86.64
Aug_25,81.41,98.37
Aug_24,76.79,88.89
Aug_23,75.04,69.73
Aug_22,77.36,78.93
Aug_21,94.11,92.76
Aug_20,83.38,92.61
Aug_19,79.31,90.24
Aug_18,79.05,92.99
Aug_17,78.57,88.46
Aug_16,77.83,66.75
Aug_15,78.21,73.17
Aug_14,89.57,82.41
Aug_13,75.35,71.24
Aug_12,75.31,75.32
Aug_11,78.29,84.38
Aug_10,79.38,82.51
Aug_9,79.95,64.09
Aug_8,79.13,73.28
Aug_7,92.84,86.13
Aug_6,81.47,84.39
Aug_5,77.61,84.54
Aug_4,77.39,82.61
Aug_3,74.09,80
Aug_2,72.61,56.31
Aug_1,68.75,55.64
Jul_31,79.47,61.62
Jul_30,70.77,68.68
Jul_29,69.14,71.76
Jul_28,71.68,74.53
Jul_27,69.88,71.18
Jul_26,71.52,63.82
Jul_25,71.8,64.56
Jul_24,88.1,75.17
Jul_23,72.88,70.28
Jul_22,66.74,62.06
Jul_21,71.48,71.6
Jul_20,71.66,70.7
Jul_19,73.52,54.43
Jul_18,72.75,61.45
Jul_17,92.13,75.16
Jul_16,76.67,67.51
Jul_15,76.6,70.84
Jul_14,77.51,71.27
Jul_13,78.59,81.45
Jul_12,71.35,49.91
Jul_11,69.69,54.38
Jul_10,144.69,85.92
Jul_9,75.36,74.34
Jul_8,75.49,68.57
Jul_7,78.43,71.67
Jul_6,86.93,88.38
Jul_5,89.74,67.5
Jul_4,56.1,38.02
Jul_3,70.7,44.37
Jul_2,55.89,46.72
Jul_1,49.63,43.49
Jun_30,50.72,44.77
Jun_29,44.54,44.13
Jun_28,41.66,21.45
Jun_27,41.45,26.42
Jun_26,60.44,43.84
Jun_25,45.85,39.36
Jun_24,39.91,36.53
Jun_23,42.59,37.27
Jun_22,35.98,36.56
Jun_21,27.52,11.54
Jun_20,25.53,6.27
Jun_19,44.01,25.37
Jun_18,36.5,24.45
Jun_17,34.79,31.19
Jun_16,35.28,29.48
Jun_15,29.21,25.48
Jun_14,29.73,7.9
Jun_13,12.66,-2.36
Jun_12,21.4,0.83
Jun_11,42.95,14.33
Jun_10,25.37,10.41
Jun_9,19.95,11.71
Jun_8,14.54,8.15
Jun_7,8.24,-3.29
Jun_6,5.88,-7.14
Jun_5,15.79,-9.47
Jun_4,5.53,-10.51
Jun_3,4.3,-9.39
Jun_2,2.86,-11.66
Jun_1,2.26,-14.02
May_31,-3.44,-28.1
May_30,-1.21,-17.22
May_29,6.26,-19.47
May_28,-1.47,-12.77
May_27,-3.02,-13.22
May_26,-5.97,-15.4
May_25,-8.98,-18.63
May_24,-15.22,-30.97
May_23,-16.81,-32.55
May_22,-8.04,-28.48
May_21,-14.1,-31.1
May_20,-13.98,-29.65
May_19,-14.33,-28.93
May_18,-16.93,-30.87
May_17,-21.73,-36.63
May_16,-21.35,-36.09
May_15,-12.67,-30.23
May_14,-18.79,-33.43
May_13,-20.46,-34.48
May_10,-33.25,-45.46
May_9,-36.83,-46.49
May_8,-23.64,-38.93
May_7,-26.29,-38.64
May_6,-28.57,-41.3
May_5,-29.38,-41.79
May_4,-33.74,-45.25
May_3,-37.23,-48.72
May_2,-36.24,-47.14
May_1,-32.44,-45.97
Apr_30,-22.22,-41.84
Apr_29,-29.69,-45.88
Apr_28,-32.81,-47.41
Apr_27,-35.12,-49.03
Apr_26,-41.5,-53.01
Apr_25,-41.89,-53.1
Apr_24,-35.72,-49.29
Apr_23,-38.46,-51.05
Apr_22,-39.39,-52.16
Apr_21,-39.52,-51.67
Apr_20,-41.38,-52.76
Apr_19,-49.76,-59.84
Apr_18,-47.85,-56.65
Apr_17,-39.55,-57.72
Apr_16,-41.57,-54.8
Apr_15,-40.39,-53.48
Apr_14,-38.57,-53.03
Apr_13,-40.06,-50.19
Apr_12,-44.08,-56.94
Apr_11,-44.32,-55.38
Apr_10,-37.23,-50.09
Apr_9,-40.5,-51.45
Apr_8,-42.46,-53.34
Apr_7,-42.85,-51.99
Apr_6,-46.83,-57.44
Apr_5,-52.18,-63.31
Apr_4,-54.02,-61.87
Apr_3,-50.65,-60.53
Apr_2,-53.83,-63.45
Apr_1,-52.86,-63.55
Mar_31,-45.9,-59.07
Mar_30,-40.32,-53.97
Mar_29,-34.65,-46.78
Mar_28,-23.01,-34.49
Mar_27,-2.53,-12.74
Mar_26,-4.85,-11.77
Mar_25,-5.57,-9.52
Mar_24,-5.09,-13.34
