Response,Republicans,Democrats
Facebook,62,53
Saturday_Night_Live,54,28
Twitter,51,47
Internet_News_Sites,51,47
CNN,39,14
The_New_York_Times,31,7
MSNBC,30,7
The_Daily_Show,30,17
Good_Morning_America_(ABC),27,8
The_Today_Show_(NBC),26,8
NBC_Nightly_News,25,6
CBS_Evening_News,24,4
ABC_World_News_Tonight,24,5
CBS_This_Morning_(CBS),24,6
USA_Today,22,9
Radio_Talk_Shows,22,23
Meet_the_Press_(NBC),19,5
NPR_(National_Public_Radio),18,5
Face_the_Nation_(CBS),18,6
Local_Newspapers,17,6
60_Minutes_(CBS),17,5
PBS_News_Hour,14,4
Local_Radio_News_Stations,12,11
Fox_News,11,32
Local_TV_News,9,7
