Professional_golf_players,On_Course,Off_Course
Rory_Mcllroy,17.51,32.0
Arnold_Palmer,0,40.0
Phil_Mickelson,4.27,33.5
Tiger_Woods,0.11,34.61
Jordan_Spieth,6.4,24.0
Jack_Nicklaus,0.04,20.0
Dustin_Johnson,12.66,7.1
Jason_Day,8.85,10.75
Adam_Scott,8.16,6.9
Gary_Player,0,15.0
Henrik_Stenson,6.94,7.25
Hideki_Matsuyama,5.58,8.0
Rickie_Fowler,3.33,9.1
Sergio_Garcia,3.85,8.5
Matt_Kuchar,4.6,6.75
Bubba_Watson,4.85,6.3
Patrick_Reed,8.35,2.75
Bernhard_Langer,4.15,6.25
Greg_Norman,0,10.0
Colin_Montgomerie,2.24,7.5
Justin_Rose,2.31,7.2
Jimmy_Walker,4.66,4.2
Graeme_McDowell,3.01,5.8
Brandt_Snedeker,4.74,4.0
Ernie_Els,0.65,8.0
Lee_Westwood,1.95,6.55
Branden_Grace,4.64,3.7
Nick_Faldo,0.04,8.25
Jim_Furyk,1.61,6.65
Russell_Knox,6.1,2.08
Tom_Watson,0.15,8.0
Miguel_A._Jimenez,1.95,6.0
Zach_Johnson,2.12,5.75
Danny_Willett,5.29,2.55
Martin_Kaymar,1.78,6.0
Fred_Couples,0.23,7.5
Paul_Casey,5.03,2.0
Davis_Love_III,0.42,6.25
Luke_Donald,1.83,4.8
Justin_Thomas,4.42,2.05
Brooks_Koepka,4.07,2.0
William_McGirt,3.82,2.2
Jason_Dufner,3.55,2.4
Lydia_Ko,2.69,3.25
Kevin_Kisner,3.71,2.2
J.B._Holmes,3.46,2.4
Kevin_Chappell,5.1,0.7
Bill_Haas,2.77,2.6
Kevin_Na,3.63,1.65
Padraig_Harrington,1.3,4.0
