Month,Average_weekly_sales_in_thousand_GBP
Oct_20,3270951
Sep_20,3220120
Aug_20,3228567
Jul_20,3266489
Jun_20,3370409
Apr_20,3202789
Mar_20,3298572
Feb_20,2948087
Jan_20,2828689
Dec_19,3503230
Nov_19,3096732
Oct_19,3024376
Sep_19,2970763
Aug_19,2999785
Jul_19,3090958
Jun_19,3032042
May_19,3063816
Apr_19,3063131
Mar_19,2965997
Feb_19,2882405
Jan_19,2776369
Dec_18,3490843
Nov_18,3089320
Oct_18,2976035
Sep_18,2913207
Aug_18,2973218
Jul_18,3081052
Jun_18,3033997
May_18,3058712
Apr_18,2867202
Mar_18,2972212
Feb_18,2837555
Jan_18,2687585
Dec_17,3468083
Nov_17,3046392
Oct_17,2933214
Sep_17,2868994
Aug_17,2897861
Jul_17,2967157
Jun_17,2933167
May_17,2979548
Apr_17,2992112
Mar_17,2884638
Feb_17,2839535
Jan_17,2714097
Dec_16,3452487
Nov_16,3084751
Oct_16,2970608
Sep_16,2905913
Aug_16,2923317
Jul_16,2975788
Jun_16,2954375
May_16,2977933
Apr_16,2869082
Mar_16,2908143
Feb_16,2812009
Jan_16,2721742
Dec_15,3337804
Nov_15,2995833
Oct_15,2828189
Sep_15,2828488
Aug_15,2764200
Jul_15,2854905
Jun_15,2870738
May_15,2872749
Apr_15,2745762
Mar_15,2852785
Feb_15,2713632
Jan_15,2647216
Dec_14,3234192
Nov_14,2962769
Oct_14,2790527
Sep_14,2729971
Aug_14,2742352
Jul_14,2821611
Jun_14,2826132
May_14,2808040
