Metropolitan_area,Number_of_residents_in_thousands
Toronto_Ontario,6471.85
Montréal_Quebec,4318.51
Vancouver_British_Columbia,2691.35
Calgary_Alberta,1514.72
Edmonton_Alberta,1447.14
Ottawa-Gatineau_Ontario/Quebec,1441.12
Winnipeg_Manitoba,844.57
Québec_Quebec,824.41
Hamilton_Ontario,794.72
Kitchener-Cambridge-Waterloo_Ontario,584.26
London_Ontario,545.44
Halifax_Nova_Scotia,440.35
St._Catharines-Niagara_Ontario,434.93
Oshawa_Ontario,413.94
Victoria_British_Columbia,402.27
Windsor_Ontario,354.92
Saskatoon_Saskatchewan,330.67
Regina_Saskatchewan,261.68
Sherbrooke_Quebec,221.04
Kelowna_British_Columbia,217.23
Barrie_Ontario,213.66
St._John's_Newfoundland_and_Labrador,212.43
Abbotsford-Mission_British_Columbia,201.95
Kingston_Ontario,175.71
Greater_Sudbury_Ontario,172.22
Guelph_Ontario,165.24
Saguenay_Quebec,162.42
Trois-Rivières_Quebec,160.69
Moncton_New_Brunswick,155.82
Brantford_Ontario,149.02
Peterborough_Ontario,131.42
Saint_John_New_Brunswick,131.03
Thunder_Bay_Ontario,127.2
