ice_hockey_team,Price_of_soft_drink_in_U.S._dollars
Tampa_Bay_Lightning_(20),6
Boston_Bruins_(14),5.75
Chicago_Blackhawks_(24),5.75
Anaheim_Ducks_(21),5.5
New_York_Rangers_(24),5.5
St._Louis_Blues_(20),5.5
Los_Angeles_Kings_(21),5.25
Florida_Panthers_(20),5
Minnesota_Wild_(24),5
Washington_Capitals_(16),5
New_York_Islanders_(16),5
Columbus_Blue_Jackets_(22),4.75
Carolina_Hurricanes_(20),4.5
Colorado_Avalanche_(16),4.5
NHL_average_(19),4.46
New_Jersey_Devils_(16),4.25
Winnipeg_Jets_(16),4.24
Philadelphia_Flyers_(16),4
Dallas_Stars_(16),4
Detroit_Red_Wings_(16),4
San_Jose_Sharks_(16),4
Montreal_Canadians_(24),3.88
Calgary_Flames_(20),3.61
Vancouver_Canucks_(16),3.57
Toronto_Maple_Leafs_(14),3.57
Ottawa_Senators_(20),3.57
Edmonton_Oilers_(24),3.52
Nashville_Predators_(16),3.5
Buffalo_Sabres_(16),3
Pittsburgh_Pinguins_(12),3
Phoenix_Coyotes_(16),0
