Country:_Movie_title,Number_of_viewers_in_thousands
Argentina_:_La_odisea_de_los_giles,1741.24
Bolivia_:_No_manches_Frida_2,33.93
Brazil_:_Nada_a_perder_-_Parte_2,6136.97
Chile:_Mi_amigo_Alexis,144.67
Colombia_:_El_paseo_5,458.87
Costa_Rica:_Maikol_Yordan_2,85.14
Ecuador:_Rock_N'_Cola,300.12
El_Salvador_:_El_parque_mágico,19.47
Guatemala_:_El_parque_mágico,21.94
Honduras_:_Taxi_VIP,44.43
Mexico_:_No_manches_Frida_2,6651.11
Nicaragua:_Nada_a_perder_-_Parte_2,9.37
Panama_:_Locos_Al_Poder,45.61
Paraguay_:_Morgue,59.22
Peru_:_Once_machos_2,655.47
Uruguay_:_La_odisea_de_los_giles,115.31
