Month,Number_of_patients
Nov_26_2020,1
Nov_25_2020,8
Nov_24_2020,10
Nov_23_2020,14
Nov_22_2020,16
Nov_21_2020,15
Nov_20_2020,15
Nov_19_2020,15
Nov_18_2020,10
Nov_17_2020,20
Nov_16_2020,16
Nov_15_2020,12
Nov_14_2020,13
Nov_13_2020,17
Nov_12_2020,17
Nov_11_2020,19
Nov_10_2020,13
Nov_9_2020,16
Nov_8_2020,10
Nov_7_2020,10
Nov_6_2020,18
Nov_5_2020,15
Nov_4_2020,9
Nov_3_2020,19
Nov_2_2020,12
Nov_1_2020,5
Oct_31_2020,7
Oct_30_2020,5
Oct_29_2020,13
Oct_28_2020,7
Oct_27_2020,5
Oct_26_2020,13
Oct_25_2020,7
Oct_24_2020,7
Oct_23_2020,5
Oct_22_2020,3
Oct_21_2020,10
Oct_20_2020,8
Oct_19_2020,1
Oct_18_2020,3
Oct_17_2020,5
Oct_16_2020,3
Oct_15_2020,4
Oct_14_2020,0
Oct_13_2020,2
Oct_12_2020,5
Oct_11_2020,5
Oct_10_2020,4
Oct_9_2020,10
Oct_8_2020,3
Oct_7_2020,4
Oct_6_2020,1
Oct_5_2020,2
Oct_4_2020,1
Oct_3_2020,0
Oct_2_2020,4
Oct_1_2020,5
Sep_30_2020,2
Sep_29_2020,4
Sep_28_2020,5
Sep_27_2020,1
Sep_26_2020,1
Sep_25_2020,1
Sep_24_2020,3
Sep_23_2020,3
Sep_22_2020,3
Sep_21_2020,3
Sep_20_2020,2
Sep_19_2020,5
Sep_18_2020,2
Sep_17_2020,2
Sep_16_2020,4
Sep_15_2020,0
Sep_14_2020,6
Sep_13_2020,1
Sep_12_2020,2
Sep_11_2020,3
Sep_10_2020,4
Sep_9_2020,4
Sep_8_2020,3
Sep_7_2020,4
Sep_6_2020,2
Sep_5_2020,0
Sep_4_2020,2
Sep_3_2020,2
Sep_2_2020,2
Sep_1_2020,1
Aug_31_2020,1
Aug_30_2020,0
Aug_29_2020,1
Aug_28_2020,2
Aug_27_2020,3
Aug_26_2020,2
Aug_25_2020,1
