Sector,Average_annual_wage_in_euros
Mining_and_quarrying,82940
Financial_institutions,62200
Electricity_and_gas_supply,62030
Information_and_communication,52700
Other_specialized_business_services,51000
Public_administration_and_services,47530
Water_supply_and_waste_management,45880
Manufacturing,44990
Construction,44080
Renting_buying_selling_real_estate,42440
Transportation_and_storage,38340
Education,37990
Health_and_social_work_activities,29770
Other_service_activities,29390
Wholesale_and_retail_trade,26830
Agriculture_forestry_and_fishing,24000
Culture_sports_and_recreation,23590
Renting_and_other_business_support,22580
Accommodation_and_food_serving,13650
