Sectors,Revenue_in_thousand_euros
Manufacturing_of_beverages,21796960
Manufacture_of_dairy_products,19971106
Manufacturing_of_other_food-goods,20904879
Manufacture_of_bakery_and_farinaceous_products,19677558
Manufacturing_and_conservation_of_fruits_and_vegetables,11844879
Different_manufacturing_and_production_of_fruits_and_vegetables,9592801
Manufacturing_and_production_of_oils_and_vegetable_and_animal_fats,7638655
Manufacturing_of_bread_fresh_pastry_goods_and_cakes,7745213
Manufacture_of_of_macaroni_noodles_couscous_and_similar_farinaceous_products,7746770
Manufacturing_of_oils_and_fats,6917439
Manufacturing_and_production_of_cocoa_chocolate_and_sweets,7128361
Manufacturing_of_soft_drinks_production_of_mineral_waters_and_bottled_waters,5155390
Processing_of_tea_and_coffee,4711986
Production_of_rusks_and_biscuits_manufacture_of_preserved_pastry_goods_and_cakes,4185575
Manufacturing_and_preserving_of_poultry_meat,2671636
Processing_and_preserving_of_fish_crustaceans_and_molluscs,2672407
Manufacturing_of_fruit_and_vegetable_juice,1813030
Manufacture_of_prepared_meals_and_dishes,1387979
Manufacture_of_homogenised_food_preparations_and_dietetic_food,1269493
Manufacturing_of_condiments_and_seasoning,910841
Manufacturing_of_margarine_and_edible_fats,721216
Manufacturing_of_sugar,252770
Manufacturing_and_conservation_of_meat_and_derivate_products,24484285
