business,Direct_premiums_written_in_million_U.S._dollars
Odyssey_Reins._Group,1650.99
Munich_Re_America_Corp.,1133.84
General_Re_Group,443.7
SCOR_U.S._Group/SCOR_re,391.22
Everest_Reins._Co.,387.63
Sirius_America_Insurance_Co.,271.7
Endurance_Reins._Corp._of_America,250.84
National_Indemnity_Co.,245.68
Transatlantic_Reinsurance,91.21
Axis_Reins._Co.,83.61
American_Agricultural_Ins._Co.,45.16
XL_Reins._America,20.43
Renaissance_Reinsurance._U.S._Inc.,0.0
EMC_Reins_Co.,0.0
Swiss_Reins_America_Corp.,0.0
The_Toa_Reins._Co._of_America,0.0
Partner_Reins._Co.,0.0
