Month,Index_value
Jun_20,236.5
May_20,220.7
Apr_20,180.6
Mar_20,152.6
Feb_20,133.1
Jan_20,138.9
Dec_19,208.9
Nov_19,181.7
Oct_19,146.1
Sep_19,133.1
Aug_19,134.0
Jul_19,142.7
Jun_19,136.1
May_19,138.8
Apr_19,135.8
Mar_19,135.5
Feb_19,125.2
Jan_19,128.8
Dec_18,187.0
Nov_18,182.9
Oct_18,134.2
Sep_18,122.8
Aug_18,120.1
Jul_18,125.5
Jun_18,125.7
May_18,127.3
Apr_18,118.7
Mar_18,118.4
Feb_18,110.2
Jan_18,113.5
Dec_17,165.3
Nov_17,162.0
Oct_17,118.8
Sep_17,109.9
Aug_17,105.4
Jul_17,108.2
Jun_17,108.7
May_17,105.1
Apr_17,105.0
Mar_17,101.6
Feb_17,95.6
Jan_17,100.0
Dec_16,151.6
Nov_16,147.1
Oct_16,108.5
Sep_16,96.7
Aug_16,88.6
