Month,Index_number_of_sales_per_week
Jun_20,68.8
May_20,40.4
Apr_20,31.0
Mar_20,60.9
Feb_20,109.2
Jan_20,111.7
Dec_19,104.9
Nov_19,109.0
Oct_19,106.6
Sep_19,107.7
Aug_19,108.8
Jul_19,107.1
Jun_19,103.7
May_19,102.5
Apr_19,103.4
Mar_19,99.0
Feb_19,105.3
Jan_19,102.8
Dec_18,97.8
Nov_18,97.3
Oct_18,94.9
Sep_18,95.9
Aug_18,97.8
Jul_18,103.2
Jun_18,98.1
May_18,100.6
Apr_18,95.4
Mar_18,99.4
Feb_18,101.8
Jan_18,99.8
Dec_17,104.4
Nov_17,103.5
Oct_17,103.2
Sep_17,111.5
Aug_17,102.2
Jul_17,105.2
Jun_17,107.7
May_17,104.0
Apr_17,105.2
Mar_17,105.1
Feb_17,99.0
Jan_17,97.6
Dec_16,101.0
Nov_16,102.6
Oct_16,101.8
Sept_16,98.7
Aug_16,100.3
Jul_16,107.2
Jun_16,95.0
May_16,101.4
Apr_16,100.8
Mar_16,99.5
Feb_16,92.7
Jan_16,97.2
