Month,Daily_percentage_change_in_hospitalized_persons
Nov_20,0.5
Nov_19,-1.2
Nov_17,2.6
Nov_16,2.1
Nov_13,1.8
Nov_12,1.8
Nov_9,3.7
Nov_6,1.9
Nov_5,2.5
Nov_4,2.7
Nov_3,5.4
Oct_30,5.6
Oct_29,5
Oct_27,8.2
Oct_23,6.9
Oct_22,6.9
Oct_21,5.3
Oct_20,7
Oct_15,7.5
Oct_14,7.3
Oct_13,7.7
Oct_12,6.9
Oct_9,6.5
Oct_8,3.5
Oct_7,7.6
Oct_6,17.8
Oct_5,16.9
Oct_2,5.5
Oct_1,3.2
Sep_30,3.4
Sep_29,4.08
Sep_28,3.69
Sep_27,4.17
Sep_26,6.97
Sep_25,1.58
Sep_24,-0.36
Sep_23,-1.1
Sep_22,0.71
Sep_21,-0.3
Sep_20,0.4
Sep_19,2.7
Sep_18,0.42
Sep_17,-4.48
Sep_16,0.55
Sep_15,1.22
Sep_14,0.56
Sep_13,0.77
Sep_12,-0.56
Sep_11,1.7
Sep_10,-7.1
Sep_9,1.4
Sep_8,-3.4
Sep_7,-3
Sep_3,0.5
Sep_2,1.4
Sep_1,-4.9
Aug_31,1.3
Aug_28,1.6
Aug_26,0.1
Aug_25,-1.8
Aug_24,8.2
Aug_14,-0.9
Aug_13,1.9
Aug_12,1.8
Aug_11,2.9
Aug_10,1.6
Aug_5,2.1
Aug_4,1
Aug_3,0.3
Jul_31,5
Jul_30,0.4
Jul_29,1.9
Jul_28,1.8
Jul_27,1.5
Jul_24,-0.6
Jul_23,-1.1
Jul_22,2.3
Jul_21,2
Jul_20,1
Jul_17,3.5
Jul_16,-1.6
Jul_15,-0.4
Jul_14,-3.6
Jul_13,1.9
Jul_12,-0.4
Jul_11,1.3
Jul_10,-5.3
Jul_9,0.2
Jul_8,1.5
Jul_7,-7.4
Jul_6,1.4
Jul_5,2
Jul_4,-0.7
Jul_3,-2.5
Jul_2,-7.1
Jul_1,6.2
Jun_30,0.8
Jun_29,-2.6
Jun_28,-1.3
Jun_27,-3.3
Jun_26,-2.1
Jun_25,0.5
Jun_24,1.5
Jun_23,1.9
Jun_22,1.2
Jun_21,-2.8
Jun_20,2.4
Jun_19,2
Jun_18,9.2
Jun_17,-6.3
Jun_16,4
Jun_15,-0.7
Jun_14,2.2
Jun_13,5
Jun_12,-4.2
Jun_11,-14.7
Jun_10,-2.3
Jun_9,8.4
Jun_8,-6.3
Jun_7,-5.7
Jun_6,2.1
Jun_5,-0.8
Jun_4,-2.3
Jun_3,-3.1
Jun_2,1.7
Jun_1,2.2
May_31,-3.3
May_30,8.5
May_29,-9.5
May_28,-3.1
May_27,6.9
May_26,-4.3
May_25,1.2
May_24,-1.3
May_23,0.4
May_22,-3
May_21,-3.5
May_20,-3.1
May_19,-2.1
May_18,3.5
May_17,2.2
May_16,-6.7
May_15,1.6
May_14,-4.2
May_13,3
May_12,-1
May_11,-2.3
May_10,-4
May_9,0.4
May_8,1.7
May_7,-1.8
May_6,0.8
May_5,3.2
May_4,-3.9
May_3,4.2
May_2,-5
May_1,-7.4
Apr_30,1.3
Apr_29,1.3
Apr_28,6.3
Apr_27,0.4
Apr_26,-2.6
Apr_25,-8.9
Apr_24,-0.1
Apr_23,-11.6
Apr_22,20.3
Apr_21,16
Apr_20,1.2
Apr_19,-8.9
Apr_18,1.9
Apr_17,2.5
Apr_16,4.3
Apr_15,1.1
Apr_14,-1.6
Apr_13,1.2
Apr_12,2.3
Apr_11,0.7
Apr_10,-2.6
Apr_09,2
Apr_08,-2.1
Apr_07,1.3
Apr_06,0.4
Apr_05,5.7
Apr_04,6.7
Apr_03,-6.9
Apr_02,20.4
Mar_31,1.3
Mar_30,1.1
Mar_29,9.3
Mar_28,1.4
Mar_27,5.6
Mar_26,-0.6
Mar_25,9.2
Mar_24,30
Mar_23,5
Mar_22,3.53
Mar_21,16.59
Mar_20,3.1
Mar_19,-5.6
Mar_18,10.8
Mar_17,13.5
Mar_16,-4.4
Mar_15,46
Mar_14,1
Mar_13,35.7
Mar_12,21.1
Mar_11,44.1
Mar_10,-52.9
Mar_09,178
Mar_08,15.1
Mar_07,14.1
Mar_06,39.1
Mar_05,41.5
Mar_04,0
