Month,Repayments_in_million_GBP
Nov_'19,11908
Oct_'19,11763
Sep_'19,12007
Aug_'19,12194
Jul_'19,12088
Jun_'19,12363
May_'19,12135
Apr_'19,12130
Mar_'19,12386
Feb_'19,12349
Jan_'19,12152
Dec_'18,11907
Nov_'18,12392
Oct_'18,12367
Sep_'18,12733
Aug_'18,12591
Jul_'18,12598
Jun_'18,12641
May_'18,12447
Apr_'18,12704
Mar_'18,12919
Feb_'18,12813
Jan_'18,12600
Dec_'17,12542
Nov_'17,13007
Oct_'17,13061
Sep_'17,13238
Aug_'17,13026
Jul_'17,13070
Jun_'17,13047
May_'17,13127
Apr_'17,13058
Mar_'17,13152
Feb_'17,13260
Jan_'17,12931
Dec_'16,12527
Nov_'16,12803
Oct_'16,12861
Sep_'16,12983
Aug_'16,12113
Jul_'16,12213
Jun_'16,11984
May_'16,12172
