Date,Cellphone,Smartphone
10/27/2002,62%,nan
11/30/2004,65%,nan
2/9/2005,66%,nan
12/31/2005,67%,nan
3/28/2006,66%,nan
4/6/2006,73%,nan
9/5/2007,76%,nan
12/2/2007,75%,nan
1/13/2008,77%,nan
5/11/2008,78%,nan
8/10/2008,82%,nan
12/20/2008,84%,nan
1/27/2009,85%,nan
4/19/2009,85%,nan
9/14/2009,84%,nan
12/27/2009,83%,nan
1/19/2010,80%,nan
5/30/2010,82%,nan
9/13/2010,85%,nan
11/1/2010,84%,nan
11/24/2010,82%,nan
11/28/2010,82%,nan
12/21/2010,81%,nan
3/20/2011,86%,nan
5/22/2011,83%,35%
8/26/2011,84%,nan
12/21/2011,87%,nan
1/8/2012,88%,nan
1/15/2012,87%,39%
2/19/2012,88%,45%
4/3/2012,88%,46%
8/5/2012,87%,44%
8/7/2012,89%,nan
9/6/2012,85%,45%
9/23/2012,88%,43%
9/30/2012,89%,nan
10/14/2012,88%,nan
11/4/2012,89%,nan
11/10/2012,84%,46%
12/9/2012,87%,45%
12/16/2012,88%,nan
1/6/2013,89%,51%
5/19/2013,91%,56%
7/14/2013,90%,53%
7/28/2013,91%,53%
9/16/2013,89%,54%
9/30/2013,91%,55%
10/6/2013,92%,58%
1/5/2014,92%,55%
1/12/2014,90%,58%
1/26/2014,91%,55%
2/18/2014,90%,nan
4/27/2014,92%,nan
9/21/2014,91%,nan
12/21/2014,89%,59%
4/12/2015,92%,67%
7/12/2015,92%,68%
11/15/2015,91%,69%
4/4/2016,92%,72%
5/3/2016,92%,70%
11/6/2016,95%,77%
1/10/2018,95%,77%
2/7/2019,96%,81%
