profession,Number_of_employees
Retail_salespersons,4209500
Cashiers,3439380
Office_clerks_general,2815240
Combined_food_preparation_and_serving_workers_including_fast_food,2695740
Registered_nurses,2583770
Waiters_and_waitresses,2302070
Customer_service_representatives,2195860
Laborers_and_freight_stock_and_material_movers_hand,2135790
Janitors_and_cleaners_except_maids_and_housekeeping_cleaners,2090400
Stock_clerks_and_order_fillers,1864410
Secretaries_except_legal_medical_and_executive,1797670
Bookkeeping_accounting_and_auditing_clerks,1757870
General_and_operations_managers,1689680
Truck_drivers_heavy_and_tractor-trailer,1550930
Elementary_school_teachers_except_special_education,1544300
