Retailer,Change_from_2009_to_2010
"Toys_""R""_Us",58.6
Best_Buy,11.3
Nordstrom,10.9
Walgreen,8.1
Subway,7.4
Apple_Stores_/_iTunes,7.4
Aldi,7
Dollar_General,6.2
ShopRite,5.8
7-Eleven,5.5
Darden_Restaurants,5.3
H-E-B,5.3
Ahold_USA_/_Royal_Ahold,5.3
Ross_Stores,5
Whole_Foods_Markets,4.7
Publix,4.6
Army_Air_Force_Exchange,3.4
Menard,3.2
Bed_Bath_&_Beyond,3.1
Costco,2.5
Kohl's,2.4
TJX,2.3
CVS_Caremark,2
Family_Dollar,2
Lowe's,1.7
SUPERVALU,1.7
Wal-Mart,1.3
Staples,1.3
Delhaize_America,1.2
BJ'S_Wholesale_Club,1.1
YUM!_Brands,0.9
Target,0.6
Macy's,0.6
Meijer,0.5
Burger_King_Holdings,0.3
McDonald's,0.3
Sears_Holdings,0.1
Verizon_Wireless,0
The_Home_Depot,0
Amazon.com,0
J.C._Penney,-0.2
Kroger,-0.4
Rite_Aid,-0.9
Ace_Hardware,-1.1
Limited_Brands,-1.2
Wendy's_/_Arby's_Restaurants,-1.4
Safeway,-2
Gap,-2.3
True_Value,-4.2
A&P,-11
