industry_classification,GDP_in_million_chained_2012_Canadian_dollars
Mining_quarrying_and_oil_and_gas_extraction,876.1
Construction,585.1
Public_administration,561.5
Real_estate_and_rental_and_leasing,271.6
Educational_services,220.3
Health_care_and_social_assistance,181.5
Retail_trade,101.9
Transportation_and_warehousing,71.5
Utilities,67.4
Information_and_cultural_industries,62.8
Administrative_and_support_waste_management_and_remediation_services,59.6
Finance_and_insurance,43.3
Wholesale_trade,41.7
Accommodation_and_food_services,32.1
Professional_scientific_and_technical_services,27.3
Other_services_(except_public_administration),25.1
Management_of_companies_and_enterprises,12.3
Manufacturing,7.6
Agriculture_forestry_fishing_and_hunting,2.9
Arts_entertainment_and_recreation,1.2
