Golf_course_management_company,Number_of_golf_courses
Troon_Golf,278.0
ClubCorp,200.0
Billy_Casper_Golf,158.0
Pacific_Golf_Management,156.0
Accordia_Golf_Co._Ltd.,134.0
KemperSports,109.0
Blue_Green_Groupe_Saur,105.0
American_Golf_Corp.,76.0
Arcis_Golf,70.0
OB_Sports,67.5
Landscapes_Golf_Management,60.5
GreatLIFE_Golf_&_Fitness,54.0
ClubLink,53.0
Marriott_Golf,51.0
Century_Golf_Partners_/_Arnold_Palmers_Golf_Management,46.0
UGOLF,43.0
ClubSpecialists_International_(CSI),38.5
CourseCo_Inc,38.5
Touchstone_Golf,36.0
Crown_Golf,32.0
