Grocery_Company_In_UK,Compound_annual_sales_growth_(over_2_years)
Boparan_Holdings,67.1
Ellas's_Kitchen_Group,60
JDM_Food_Group,58.3
Vistgate,45.6
Westbridge_Food_Group,43.5
Aspall_Cyder,43
Severn_&_WYE_Smokery,41.1
W_Simpson,40.4
Nigel_Fredericks,36.7
Summit_Food_Holdings,35.9
UIN_Foods,34.5
Thatchers_Holdings,34.4
Bread_Holdings,34.1
Lynn's_Country_Foods,33.9
Tyrrells_Group_Holdings,32.9
Cornish_Farm_Dairy,31.8
Lincoln_&_York,31.7
Frylite,28.8
Harder_Bros,28.7
Frampton_Holdings,27.3
Whitworths_Holdings,26.5
Interfish,26.3
Wellpak_Group,26.1
Fullers_Foods_International,25.8
The_Benriach_Distillery_Company,25.4
