American_football_player,Number_of_passing_yards
Drew_Brees_(2001-2020),80157
Tom_Brady_(2000-2020),78805
Peyton_Manning_(1998-2015),71940
Brett_Favre_(1991-2010),71838
Philip_Rivers_(2004-2020),63276
Dan_Marino_(1983-1999),61361
Ben_Roethlisberger_(2004-2020),60348
Eli_Manning_(2004-2020),57023
Matt_Ryan_(2008-2020),55502
John_Elway_(1983-1998),51475
Aaron_Rodgers_(2005-2020),51005
Warren_Moon_(1984-2000),49325
Fran_Tarkenton_(1961-1978),47003
Carson_Palmer_(2004-2017),46247
Vinny_Testaverde_(1987-2007),46233
Matthew_Stafford_(2009-2020),44816
Drew_Bledsoe_(1993-2006),44611
Dan_Fouts_(1973-1987),43040
Joe_Flacco_(2008-2020),40931
Kerry_Collins_(1995-2011),40922
