city_of_the_United_States,"Birth_rate_(births_per_1,000_population)"
Hinesville_GA,20.14
Jacksonville_NC,19.96
Provo-Orem_UT,18.65
Odessa_TX,17.54
Watertown-Fort_Drum_NY,17.42
Laredo_TX,17.12
Clarksville_TN-KY,17.04
Midland_TX,16.89
Logan_UT-ID,16.85
McAllen-Edinburg-Mission_TX,16.18
Idaho_Falls_ID,15.85
Fairbanks_AK,15.83
Manhattan_KS,15.75
Fayetteville_NC,15.37
Killeen-Temple_TX,15.29
Hanford-Corcoran_CA,15.18
Visalia_CA,15.08
El_Centro_CA,15.05
Yakima_WA,14.93
Ogden-Clearfield_UT,14.82
Elkhart-Goshen_IN,14.8
Merced_CA,14.71
Grand_Island_NE,14.7
Brownsville-Harlingen_TX,14.66
Sioux_Falls_SD,14.66
Bakersfield_CA,14.6
Fresno_CA,14.52
Hammond_LA,14.49
Salt_Lake_City_UT,14.24
Lake_Charles_LA,14.18
Enid_OK,14.15
Twin_Falls_ID,14.04
Yuma_AZ,13.99
Sioux_City_IA-NE-SD,13.9
Kennewick-Richland_WA,13.85
Grand_Forks_ND-MN,13.84
El_Paso_TX,13.81
Yuba_City_CA,13.76
Abilene_TX,13.72
Fargo_ND-MN,13.66
Omaha-Council_Bluffs_NE-IA,13.53
Houston-The_Woodlands-Sugar_Land_TX,13.48
Fort_Wayne_IN,13.46
Pocatello_ID,13.46
Greeley_CO,13.44
Columbus_GA-AL,13.43
Modesto_CA,13.43
Madera_CA,13.4
Lawton_OK,13.39
Fayetteville-Springdale-Rogers_AR,13.37
