Response,Percentage_of_physicians
Urology,54
Neurology,50
Nephrology,49
Diabetes/endocrinology,46
Family_medicine,46
Radiology,46
Obstetricians/gynecologists,46
Rheumatology,46
Infectious_disease,45
Critical_care,44
Cardiology,44
Internal_medicine,44
Physical_medicine/rehabilitation,43
Emergency_medicine,43
Oncology,42
Anesthesiology,41
Pediatrics,41
Pulmonology,41
Allergy/immunology,38
Plastic_surgery,37
Gastroenterology,36
Dermatology,36
Pathology,36
Surgery_general,35
Otalaryngology,35
Psychiatry,35
Orthopedics,34
Ophthalmology,30
Public_health/preventive_medicine,29
