Quarter,HFCE_in_million_Australian_dollars
Q4_2019,277811
Q3_2019,275794
Q2_2019,274060
Q1_2019,271580
Q4_2018,269454
Q3_2018,267426
Q2_2018,265282
Q1_2018,262553
Q4_2017,259789
Q3_2017,256034
Q2_2017,253693
Q1_2017,250899
Q4_2016,248944
Q3_2016,246618
Q2_2016,244617
Q1_2016,242896
Q4_2015,240918
Q3_2015,238818
Q2_2015,235763
Q1_2015,233168
Q4_2014,231129
Q3_2014,229114
Q2_2014,227152
Q1_2014,225241
Q4_2013,222622
Q3_2013,219963
Q2_2013,216030
Q1_2013,214513
Q4_2012,212219
Q3_2012,210876
Q2_2012,208561
Q1_2012,205786
