Date_of_forecast,Forecast_GDP_growth
Nov_27_2020,-4.5
Nov_20_2020,-4.55
Nov_13_2020,-4.66
Nov_6_2020,-4.8
Oct_30_2020,-4.81
Oct_23_2020,-4.81
Oct_16_2020,-5
Oct_9_2020,-5.03
Oct_2_2020,-5.02
Sep_25_2020,-5.04
Sep_18_2020,-5.05
Sep_11_2020,-5.11
Sep_4_2020,-5.31
Aug_28_2020,-5.28
Aug_21_2020,-5.46
Aug_14_2020,-5.52
Aug_7_2020,-5.62
Jul_31_2020,-5.66
Jul_24_2020,-5.77
Jul_17_2020,-5.95
Jul_10_2020,-6.1
Jul_3_2020,-6.5
Jun_26_2020,-6.54
Jun_19_2020,-6.5
Jun_12_2020,-6.51
Jun_05_2020,-6.48
May_29_2020,-6.25
May_22_2020,-5.89
May_15_2020,-5.12
May_8_2020,-4.11
Apr_30_2020,-3.76
Apr_24_2020,-3.34
Apr_17_2020,-2.96
Apr_9_2020,-1.96
Apr_3_2020,-1.18
Mar_27_2020,-0.48
Mar_20_2020,1.48
Mar_13_2020,1.68
Mar_6_2020,1.99
Feb_28_2020,2.17
Feb_21_2020,2.2
Feb_14_2020,2.23
Feb_7_2020,2.3
Jan_31_2020,2.3
Jan_24_2020,2.31
Jan_17_2020,2.31
Jan_10_2020,2.3
Jan_3_2020,2.3
