Freight_Transportation_Company,Freight_revenue_in_million_U.S._dollars
FedEx_Corp.,64690
UPS_Inc.,63978
China_Railway_Corp.,44468
Maersk_Group,34839
CMA_CGM,30254
Russian_Railways,26267
Deutsche_Post_DHL,24265
Mediterranean_Shipping_Co.,24002
BNSF_Railway_Co.,22328
COSCO_Group,21787
Union_Pacific_Corp.,21708
Indian_Railways,19036
SF_Express,16050
Hapag-Lloyd_AG,14121
Deutsche_Bahn_AG,12963
Yamato_Holdings,12517
CSX_Corp.,11937
Norfolk_Southern,11296
Canadian_National_Railway,10953
NYK_Group,10210
