Response,Share_of_e-commerce_sales
Computer_software_(includes_video_game_software),96
Furniture_and_home_furnishings,94.4
Toys_hobby_goods_and_games,93.8
Electronics_and_appliances,93
Audio_and_video_recordings_(includes_purchased_downloads),93
Books_(includes_audio_books_and_e-books),90.8
Clothing_and_clothing_accessories_(includes_footwear),90.5
Computer_and_peripheral_equipment_communications_equipment_and_related_products_(includes_cellular_phones),90
Food_beer_and_wine,87.9
Sporting_goods,87.5
Office_equipment_and_supplies,86.5
Other_merchandise,82.3
Nonmerchandise_receipts,81.9
Jewelry,79.1
Total_Electronic_Shopping_and_Mail-Order_Houses_(NAICS_4541),73.8
Drugs_health_aids_and_beauty_aids,25.7
