nonprofit_organization,Number_of_members
National_Wildlife_Federation,1261167
World_Wildlife_Fund_-_US,1133547
The_Nature_Conservancy,972000
Sierra_Club,778830
Natural_Resources_Defense_Council,600000
Ducks_Unlimited,598363
National_Audubon_Society,500000
Defenders_of_Wildlife,490000
Environmental_Defense_Fund,400000
National_Parks_Conservation_Association,297000
The_Wilderness_Society,275000
Ocean_Conservancy,170000
Greenpeace_USA,138804
Earthjustice,84000
American_Rivers,39000
Izaak_Walton_League,37520
Center_for_Health_Environment_and_Justice,31842
Trust_for_Public_Land,31760
League_of_Conservation_Voters,31754
National_Park_Trust,30000
Friends_of_the_Earth,18000
Sea_Shepherd_Conservation_Society,8000
Earth_Island_Institute,6000
Conservation_International,2974
Conservation_Fund,1800
