ice_hockey_team,Facebook_fans_in_millions
NHL_-_league_account,4.66
Chicago_Blackhawks,2.82
Boston_Bruins,2.19
Pittsburgh_Penguins,2.04
Detroit_Red_Wings,2.0
Montreal_Canadiens,1.63
New_York_Rangers,1.52
Toronto_Maple_Leafs,1.37
Philadelphia_Flyers,1.17
Vancouver_Canucks,1.02
Los_Angeles_Kings,0.95
San_Jose_Sharks,0.94
Washington_Capitals,0.8
St._Louis_Blues,0.77
Colorado_Avalanche,0.76
Minnesota_Wild,0.67
Edmonton_Oilers,0.58
Tampa_Bay_Lightning,0.56
Buffalo_Sabres,0.5
New_Jersey_Devils,0.48
Dallas_Stars,0.48
Anaheim_Ducks,0.42
Nashville_Predators,0.41
Winnipeg_Jets,0.39
Calgary_Flames,0.38
Ottawa_Senators,0.33
Columbus_Blue_Jackets,0.32
New_York_Islanders,0.3
Arizona_Coyotes,0.3
Carolina_Hurricanes,0.29
Florida_Panthers,0.2
