State,Number_of_households_in_thousands
California,13157.87
Texas,9985.13
Florida,7905.83
New_York,7446.81
Pennsylvania,5119.25
Illinois,4866.01
Ohio,4730.34
North_Carolina,4046.35
Michigan,3969.88
Georgia,3852.71
New_Jersey,3286.26
Virginia,3191.85
Washington,2932.48
Arizona,2670.44
Tennessee,2654.74
Massachusetts,2650.68
Indiana,2597.77
Missouri,2458.34
Wisconsin,2386.62
Colorado,2235.1
Maryland,2226.77
Minnesota,2222.57
South_Carolina,1975.92
Alabama,1897.58
Kentucky,1748.73
Louisiana,1741.08
Oregon,1649.35
Oklahoma,1495.15
Connecticut,1377.17
Iowa,1287.22
Arkansas,1163.65
Nevada,1143.56
Kansas,1138.33
Mississippi,1100.23
Utah,1023.86
New_Mexico,793.42
Nebraska,771.44
West_Virginia,728.18
Idaho,655.86
Maine,573.62
New_Hampshire,541.4
Hawaii,465.3
Montana,437.65
Rhode_Island,407.17
Delaware,376.24
South_Dakota,353.8
North_Dakota,323.52
District_of_Columbia,291.57
Vermont,262.77
Alaska,252.2
Wyoming,233.13
