Response,Share_of_population
Guerrero,28.8
Oaxaca,25.1
Chiapas,23.6
Quintana_Roo,21
Veracruz,16.9
Campeche,16.5
Baja_California_Sur,14.2
Yucatán,13.6
Michoacán,12.7
Tabasco,12.3
Nayarit,11.9
Puebla,11.7
Morelos,11.3
National_average,11.1
Hidalgo,9.8
State_of_Mexico,9.6
Baja_California,9.5
Colima,9.4
Guanajuato,9.1
Tlaxcala,8.7
San_Luis_Potosí,8.6
Sonora,8.6
Sinaloa,8.5
Querétaro,8.5
Tamaulipas,7.7
Jalisco,7.1
Chihuahua,7
Zacatecas,5.4
Mexico_City,5.1
Durango,4.8
Aguascalientes,4.6
Coahuila,4.4
Nuevo_León,3.1
