Exported_Product,Volume_of_trade_goods_in_billion_U.S._dollars
Transportation_Equipment,253.53
Chemicals,196.79
Machinery_Except_Electrical,119.03
Computers_&_Electronic_Products,112.34
Oil_&_Gas,94.93
Petroleum_&_Coal_Products,93.29
Food_&_Kindred_Products,64.92
Agricultural_Products,61.55
Special_Classification_Provision_Nspf,48.71
Primary_Metal_Products,46.97
Miscellaneous_Manufactured_Commodities,46.47
Electrical_Equipment_Appliances_&_Components,45.84
Fabricated_Metal_Products,42.31
Plastic_&_Rubber_Products,30.44
Paper_Products,22.87
Scrap_&_Waste,19.54
Minerals_&_Ores,19.01
Used_Or_Second-H&_Merch&ise,16.26
Nonmetallic_Mineral_Products,10.75
Textile_&_Fabrics,8.39
Beverages_&_Tobacco,7.39
Wood_Products,6.69
Fish_Fresh_Or_Chilled;_&_Other_Marine_Products,4.97
Furniture_&_Fixtures,4.66
Printing_Publishing_&_Similar_Products,4.53
Apparel_&_Accessories,3.04
Leather_&_Allied_Products,2.87
Textile_Mill_Products,2.64
Forestry_Products_Nspf,1.95
Livestock_&_Livestock_Products,1.94
Goods_Returned_Or_Reimported,0.04
