academic_major,Median_income_in_U.S._Dollars
Architecture_and_engineering,83000$
Computers_statistics_and_mathematics,76000$
Business,65000$
Health,65000$
Physical_Science,65000$
All_Majors,61000$
Social_Science,60000$
Agriculture_and_natural_resources,56000$
Biology_and_life_sciences,56000$
Communications_and_journalism,54000$
Law_and_public_policy,54000$
Humanities_and_liberal_arts,52000$
Industrial_arts_consumer_services_and_recreation,52000$
Arts,49000$
Psychology_and_social_work,47000$
Education,45000$
