United_States_presidential_inauguration,Number_of_words
Donald_J._Trump_(2017),1433
Barack_H._Obama_(2013),2137
Barack_H._Obama_(2009),2404
George_W._Bush_(2005),2065
George_W._Bush_(2001),1571
William_J._Clinton_(1997),2155
William_J._Clinton_(1993),1580
George_H._W._Bush_(1989),2283
Ronald_W._Reagan_(1985),2564
Ronald_W._Reagan_(1981),2463
James_E._Carter_(1977),1228
Gerald_R._Ford_(1974),850
Richard_M._Nixon_(1973),1668
Richard_M._Nixon_(1969),2123
Lyndon_Baines_Johnson_(1965),1492
Lyndon_Baines_Johnson_(1963),0
John_F._Kennedy_(1961),1364
Dwight_D._Eisenhower_(1957),1655
Dwight_D._Eisenhower_(1953),2446
Harry_S_Truman_(1949),2273
Harry_S_Truman_(1945),0
Franklin_D._Roosevelt_(1945),557
Franklin_D._Roosevelt_(1941),1340
Franklin_D._Roosevelt_(1937),1808
Franklin_D._Roosevelt_(1933),1880
Herbert_C._Hoover_(1929),3801
Calvin_Coolidge_(1925),4054
Calvin_Coolidge_(1923),0
Warren_G._Harding_(1921),3326
Woodrow_Wilson_(1917),1526
Woodrow_Wilson_(1913),1699
William_H._Taft_(1909),5426
Theodore_Roosevelt_(1905),983
Theodore_Roosevelt_(1901),0
William_McKinley_(1901),2215
William_McKinley_(1897),3964
Grover_Cleveland_(1893),2012
Benjamin_Harrison_(1889),4392
Grover_Cleveland_(1885),1681
Chester_A._Arthur_(1881),0
James_A._Garfield_(1881),2975
Rutherford_B._Hayes_(1877),2481
Ulysses_S._Grant_(1873),1337
Ulysses_S._Grant_(1869),1122
Andrew_Johnson_(1865),0
Abraham_Lincoln_(1865),698
Abraham_Lincoln_(1861),3628
James_Buchanan_(1857),2822
Franklin_Pierce_(1853),3329
Millard_Fillmore_(1850),0
Zachary_Taylor_(1849),1087
James_K._Polk_(1845),4801
John_Tyler_(1841),0
William_H._Harrison_(1841),8445
Martin_Van_Buren_(1837),3832
Andrew_Jackson_(1833),1172
Andrew_Jackson_(1829),1125
John_Quincy_Adams_(1825),2911
James_Monroe_(1821),4456
James_Monroe_(1817),3366
James_Madison_(1813),1210
James_Madison_(1809),1174
Thomas_Jefferson_(1805),2151
Thomas_Jefferson_(1801),1721
John_Adams_(1797),2318
George_Washington_(1793),133
George_Washington_(1789),1419
