Brand/segment,Percent_increase_in_sales
L'Oréal_Superior_Preference/_women's_hair_coloring,5.3
Garnier_Nutrisse/_women's_hair_coloring,-3.7
TRESemmé_Tres_Two/_hair_spray/spritz,5.6
L'Oréal_Excellence/_women's_hair_coloring,-9.4
Just_For_Men/_men's_hair_coloring,-3.5
Clairol_Nice_'n_Easy/_women's_hair_coloring,-10.5
Revlon_ColorSilk_Beautiful_Color/_women's_hair_coloring,-0.8
Conair/_hair_appliances,3.5
Clairol_Nice_'n_Easy_Root_Touch-Up/_women's_hair_coloring,8.9
Organix/_hair_conditioner/crème_rinse,18.3
Suave_Proressionals/_regular_shampoo,-3.3
L'Oréal_Feria/_women's_hair_coloring,-4.2
Organix/_regular_shampoo,33.8
Rogaine/_hair_growth_products,5
Clairol_Natural_Instincts/_women's_hair_coloring,-3.1
Conair_Infinit_Pro/_hair_appliances,2.8
Suave_Naturals/_regular_shamppoo,-9.3
Head_&_Shoulders_Dry_Scalp_Care/_dandruff_shampoo,-5.7
Suave_Professionals/_hair_conditioner/crème_rinse,-7.2
Suave/_hair_spray/spritz,-1.3
