Quarter,Sales_in_million_Canadian_dollars
Q3_2019,922.65
Q2_2019,749.02
Q1_2019,631.17
Q4_2018,1042.86
Q3_2018,949.58
Q2_2018,767.78
Q1_2018,640.07
Q4_2017,1081.83
Q3_2017,945.23
Q2_2017,779.13
Q1_2017,648.62
Q4_2016,1013.71
Q3_2016,886.62
Q2_2016,725.5
Q1_2016,646.55
Q4_2015,1065.79
Q3_2015,894.08
Q2_2015,765.71
Q1_2015,675.82
Q4_2014,1029.9
Q3_2014,884.95
Q2_2014,766.2
Q1_2014,595.8
Q4_2013,930.08
Q3_2013,806.83
Q2_2013,714.25
Q1_2013,606.9
Q4_2012,952.35
Q3_2012,811.31
Q2_2012,719.53
Q1_2012,613.53
