Month,Number_of_new_cured_patients
June_18,40
June_17,57
June_16,15
June_15,21
June_14,42
June_13,49
June_12,45
June_11,61
June_10,68
June_9,9
June_8,24
June_7,101
June_6,78
June_5,64
June_4,89
June_3,25
June_2,14
June_1,32
May_31,118
May_30,87
May_29,109
May_28,107
May_27,145
May_26,23
May_25,25
May_24,117
May_23,32
May_22,135
May_21,141
May_20,160
May_19,30
May_18,27
May_17,170
May_16,159
May_15,190
May_14,173
May_13,205
May_12,35
May_11,55
May_10,231
May_9,210
May_8,221
May_7,244
May_6,290
May_5,63
May_4,69
May_3,98
May_2,319
May_1,316
April_30,293
April_29,340
April_28,65
April_27,93
April_26,368
April_25,295
April_24,322
April_23,367
April_22,432
April_21,107
April_20,138
April_19,409
April_18,387
April_17,399
April_16,455
April_15,239
April_14,161
April_13,239
April_12,477
April_11,418
April_10,404
April_9,483
April_8,524
April_7,171
April_6,235
April_5,504
April_4,375
April_3,377
April_2,363
April_1,436
March_31,168
March_30,168
March_29,296
March_28,205
March_27,183
March_26,128
March_25,115
March_24,60
