business_schools,Tuition_and_fees_in_thousand_U.S._dollars
Harvard_-_Boston_MA,139
Pennsylvania_(Wharton)_-_Philadelphia_PA,137
Columbia_-_New_York_NY,136
Dartmouth_(Tuck)_-_Hanover_NH,135
NYU_(Stern)_-_New_York_NY,131
MIT_(Sloan)_-_Cambridge_MA,130
Chicago_(Booth)_-_Chicago_IL,128
Northwestern_(Kellogg)_-_Evanston_IL,128
Duke_(Fuqua)_-_Durham_NC,128
Stanford_-_Palo_Alto_CA,127
Yale_-_New_Haven_CT,124
Cornell_(Johnson)_-_Ithaca_NY,123
Michigan_(Ross)_-_Ann_Arbor_MI,122
Virginia_(Darden)_-_Charlottesville_VA,118
Carnegie_Mellon_(Tepper)_-_Pittsburgh_PA,118
UCLA_(Anderson)_-_Los_Angeles_CA,114
UNC_(Kenan-Flagler)_-_Chapel_Hill_NC,113
UC_Berkeley_(Haas)_-_Berkeley_CA,110
Texas-Austin_(McCombs)_-_Austin_TX,96
Indiana_(Kelley)_-_Bloomington_IN,93
