Entrepreneur_(source_of_wealth),Net_worth_in_billion_U.S._dollars
Michael_Bloomberg(Bloomberg_L.P.),31.0
Anne_Cox_Chambers(Cox_Enterprises),13.5
Rupert_Murdoch(News_Corp.),13.4
Samuel_Newhouse_Jr.(Advance_Publications),8.9
Donald_Newhouse(Advance_Publications),8.2
Jim_Kennedy(Cox_Enterprises),6.7
John_Malone(Liberty_Media),6.7
Blair_Parry-Okeden(Cox_Enterprises),6.7
David_Geffen(films_and_music),6.0
Sumner_Redstone(Viacom/CBS),5.8
Patrick_McGovern(International_Data_Group),5.1
George_Lucas(films),4.2
Martha_Ingram(books),3.4
Haim_Saban(TV),3.4
Charles_Dolan(Cablevision),3.3
