time,Year_over_year_foot_traffic_growth_(2020_vs._2019)
Week_37,-7.14
Week_36,-12.71
Week_35,-14.29
Week_34,-10.29
Week_33,-12.57
Week_32,-12.29
Week_31,-14.71
Week_30,-14.71
Week_29,-13.14
Week_28,-10
Week_27,-13.57
Week_26,-11.43
Week_25,-4.57
Week_24,-10.57
Week_23,-11.57
Week_22,-10.29
Week_21,-9
Week_20,-11.29
Week_19,-5.86
Week_18,-8
Week_17,-12.86
Week_16,-23.43
Week_15,-22.57
Week_14,-21.14
Week_13,-17.43
Week_12,-6.14
Week_11,16.86
Week_10,7.57
Week_9,5.14
Week_8,3.14
Week_7,7.14
Week_6,4.43
Week_5,4.5
