State,Number_of_units
California,7281
New_York,5719
Texas,5200
Florida,4838
Pennsylvania,4633
Ohio,3740
New_Jersey,3161
Michigan,2718
Massachusetts,2312
North_Carolina,2235
Indiana,1941
Virginia,1928
Georgia,1911
Missouri,1522
Tennessee,1441
Maryland,1413
Washington,1382
Arizona,1344
Minnesota,1314
Connecticut,1302
Wisconsin,1266
Colorado,1170
Iowa,1091
Kentucky,1086
South_Carolina,1052
Oklahoma,895
Oregon,878
Alabama,844
Louisiana,758
Kansas,742
Arkansas,718
Nevada,681
Utah,593
West_Virginia,559
Mississippi,535
Nebraska,456
New_Hampshire,454
Idaho,401
Rhode_Island,379
New_Mexico,367
Maine,339
Delaware,329
Montana,273
South_Dakota,248
North_Dakota,206
Hawaii,202
Vermont,165
Washington_DC,153
Alaska,147
Wyoming,138
