disorder,Number_of_disability-adjusted_life_years_in_thousands
Lower_respiratory_infections,91.3
HIV/AIDS,84.4
Unipolar_depressive_disorders,67.2
Diarrhoeal_diseases,61.9
Ischaemic_heart_diseases,58.6
Cerebrovascular_disease,49.2
Malaria,46.5
Road_traffic_accidents,38.7
Tuberculosis,34.7
Chronic_obstructive_pulmonary_disease,27.7
Congenital_abnormalities,27.3
Hearing_loss_–_adult_onset,26.0
Cataracts,25.2
Measles,22.4
Violence,21.4
Self-inflicted_injuries,20.7
Alcohol_use_disorders,20.3
Protein_energy_malnutrition,16.9
Falls,16.2
Diabetes_mellitus,15.4
Schizophrenia,16.1
Asthma,15.3
Osteoarthritis,14.8
Vision_loss_age-related_and_other,14.1
Cirrhosis_of_the_liver,13.9
