metropolitan_area,Percentage_uninsured
McAllen-Edinburg-Mission_TX_Metro_Area,30.6
Laredo_TX_Metro_Area,29.2
Brownsville-Harlingen_TX_Metro_Area,29.1
El_Paso_TX_Metro_Area,22.1
Longview_TX_Metro_Area,20
Odessa_TX_Metro_Area,19.7
Sherman-Denison_TX_Metro_Area,19.7
Valdosta_GA_Metro_Area,19.2
Tyler_TX_Metro_Area,18.9
Beaumont-Port_Arthur_TX_Metro_Area,18.7
Houston-The_Woodlands-Sugar_Land_TX_Metro_Area,18.6
Corpus_Christi_TX_Metro_Area,17.9
Dallas-Fort_Worth-Arlington_TX_Metro_Area,17.1
Albany_GA_Metro_Area,16.6
Gainesville_GA_Metro_Area,16.4
Naples-Immokalee-Marco_Island_FL_Metro_Area,16.2
Enid_OK_Metro_Area,16.1
Dalton_GA_Metro_Area,16.1
Abilene_TX_Metro_Area,15.9
Elkhart-Goshen_IN_Metro_Area,15.7
Amarillo_TX_Metro_Area,15.6
San_Antonio-New_Braunfels_TX_Metro_Area,15.5
Yakima_WA_Metro_Area,15.4
Miami-Fort_Lauderdale-West_Palm_Beach_FL_Metro_Area,15.2
Waco_TX_Metro_Area,15
