Response,Share_of_total_sales
Non-store_retailers_[454],48.9
Electronics_and_appliance_stores_[443],7.9
Miscellaneous_store_retailers_[453],6
Sporting_goods_hobby_book_and_music_stores_[451],4.7
Clothing_and_clothing_accessories_stores_[448],4.4
Retail_trade_[44-45],3.4
Furniture_and_home_furnishings_stores_[442],2.1
Health_and_personal_care_stores_[446],1.4
Building_material_and_garden_equipment_and_supplies_dealers_[444],1.3
Food_and_beverage_stores_[445],0.5
General_merchandise_stores_[452],0.4
Motor_vehicle_and_parts_dealers_[441],0.4
Gasoline_stations_[447],0
