Quarter,Year-on-year_change
Q3_'20,8
Q2_'20,-1
Q1_'20,-22
Q4_'19,3
Q3_'19,3
Q2_'19,1
Q1_'19,15
Q4_'18,22
Q3_'18,27
Q2_'18,32
Q1_'18,31
Q4_'17,29
Q3_'17,29
Q2_'17,14.3
Q1_'17,6.8
Q4_'16,-2.6
Q3_'16,-0.7
Q2_'16,10.2
Q1_'16,31.2
Q4_'15,33.1
Q3_'15,36
Q2_'15,38.4
Q1_'15,34
Q4_'14,47.5
Q3_'14,52
Q2_'14,58.2
Q1_'14,59.1
Q4_'13,50.3
Q3_'13,42.3
Q2_'13,38.6
Q1_'13,40
Q4_'12,41.6
Q3_'12,49.7
Q2_'12,59.8
Q1_'12,75
Q4_'11,82.5
Q3_'11,85.1
Q2_'11,78.4
Q1_'11,88.3
Q4_'10,94.4
Q3_'10,76.4
Q2_'10,74.4
Q1_'10,59.6
