Response,Share_of_women_surveyed
They_aren't_tested_on_animals,61
They_don't_harm_animals,51
The_don't_contain_any_chemical_ingredients,49
They_don't_contain_ingredients_of_animal_origin,49
They_respect_the_humna_nature,48
They_contain_only_natural_ingredients,47
They_don't_contain_GMOs,44
They_don't_pollute,43
They_don't_contain_parabens,43
They_contain_only_organic_ingredients,37
They_don't_contain_sulphides,36
They_have_a_recyclable_packaging,33
They_don't_contain_aluminum,32
They_contain_essential_oils,14
They_contain_herbs,14
