Response,Share_of_brewers_regularly_producing
Pale_golden_bitter_/_golden_ale,87.6
Stout_/_porter,80.2
Strong_bitter_/_IPA,77.3
Traditional_brown_/_copper_/_amber_bitter,69.9
Bottle-conditional_beer,39.2
Speciality-ingredient_beer,38.1
Special_hop_beer_(eg._single_variety_green),36.6
Craft_keg_beer,35.4
Traditional_mild,33.6
Lager-style_beer,28.3
Strong_mild_/_old_ale,23.9
Strong_ale_/_barley_wine,20.6
Local_ingredients_beer,18.6
Foreign-style_ale,18.3
Unfined_cask_beer,18
Themed_series_of_beers,18
Wheat_beer,17.4
Super-premium_bottled_beer,14.2
Gluten-free_beer,4.4
Low_alcohol_beer_(below_2.8_percent),2.9
