Metropolitan_Statistical_Area,Number_of_residents_in_thousands
New_York-Newark-Jersey_City_NY-NJ-PA,19216.18
Los_Angeles-Long_Beach-Anaheim_CA,13214.8
Chicago-Naperville-Elgin_IL-IN-WI,9458.54
Dallas-Fort_Worth-Arlington_TX,7573.14
Houston-The_Woodlands-Sugar_Land_TX,7066.14
Washington-Arlington-Alexandria_DC-VA-MD-WV,6280.49
Miami-Fort_Lauderdale-Pompano_Beach_FL,6166.49
Philadelphia-Camden-Wilmington_PA-NJ-DE-MD,6102.43
Atlanta-Sandy_Springs-Alpharetta_GA,6020.36
Phoenix-Mesa-Chandler_AZ,4948.2
Boston-Cambridge-Newton_MA-NH,4873.02
San_Francisco-Oakland-Berkeley_CA,4731.8
Riverside-San_Bernardino-Ontario_CA,4650.63
Detroit-Warren-Dearborn_MI,4319.63
Seattle-Tacoma-Bellevue_WA,3979.85
Minneapolis-St._Paul-Bloomington_MN-WI,3640.04
San_Diego-Chula_Vista-Carlsbad_CA,3338.33
Tampa-St._Petersburg-Clearwater_FL,3194.83
Denver-Aurora-Lakewood_CO,2967.24
St._Louis_MO-IL,2803.23
Baltimore-Columbia-Towson_MD,2800.05
Charlotte-Concord-Gastonia_NC-SC,2636.88
Orlando-Kissimmee-Sanford_FL,2608.15
San_Antonio-New_Braunfels_TX,2550.96
Portland-Vancouver-Hillsboro_OR-WA,2492.41
Sacramento-Roseville-Folsom_CA,2363.73
Pittsburgh_PA,2317.6
Las_Vegas-Henderson-Paradise_NV,2266.72
Austin-Round_Rock-Georgetown_TX,2227.08
Cincinnati_OH-KY-IN,2221.21
Kansas_City_MO-KS,2157.99
Columbus_OH,2122.27
Indianapolis-Carmel-Anderson_IN,2074.54
Cleveland-Elyria_OH,2048.45
San_Juan-Bayamón-Caguas_PR,2023.23
San_Jose-Sunnyvale-Santa_Clara_CA,1990.66
Nashville-Davidson--Murfreesboro--Franklin_TN,1934.32
Virginia_Beach-Norfolk-Newport_News_VA-NC,1768.9
Providence-Warwick_RI-MA,1624.58
Milwaukee-Waukesha_WI,1575.18
Jacksonville_FL,1559.51
Oklahoma_City_OK,1408.95
Raleigh-Cary_NC,1390.79
Memphis_TN-MS-AR,1346.05
Richmond_VA,1291.9
New_Orleans-Metairie_LA,1270.53
Louisville/Jefferson_County_KY-IN,1265.11
Salt_Lake_City_UT,1232.7
Hartford-East_Hartford-Middletown_CT,1204.88
Buffalo-Cheektowaga_NY,1127.98
