Response,Percentage_of_users
Windows,0
Windows_10(64_bit),89.28
Windows_7(64_bit),4.39
Windows_8.1(64_bit),1.46
Windows_7,0.22
Windows_10,0.13
Windows_8(64_bit),0.11
OSX,0
MacOS_10.15.6(64_bit),0.86
MacOS_10.15.7(64_bit),0.85
MacOS_10.14.6(64_bit),0.51
MacOS_10.13.6(64_bit),0.4
MacOS_10.15.5(64_bit),0.18
MacOS_10.12.6(64_bit),0.14
MacOS_10.15.4(64_bit),0.1
MacOS_10.11.6(64_bit),0.1
MacOS_10.15.3(64_bit),0.05
MacOS_10.16.0(64_bit),0.05
Linux,0
Ubuntu_20.04.1_LTS(64_bit),0.21
"""Manjaro_Linux""(64_bit)",0.1
"""Arch_Linux""(64_bit)",0.1
Ubuntu_18.04.5_LTS(64_bit),0.07
Linux_Mint_20(64_bit),0.05
