Month,Price_in_GBP_per_head
Nov_'19,0.53
Oct_'19,0.54
Sep_'19,0.53
Aug_'19,0.54
Jul_'19,0.59
Jun_'19,0.58
May_'19,0.32
Apr_'19,0.48
Mar_'19,0.49
Feb_'19,0.5
Jan_'19,0.49
Dec_'18,0.46
Nov_'18,0.46
Oct_'18,0.46
Sep_'18,0.48
Aug_'18,0.51
Jul_'18,0.62
Jun_'18,0.51
May_'18,0.38
Apr_'18,0.41
Mar_'18,0.43
Feb_'18,0.42
Jan_'18,0.39
Dec_'17,0.42
Nov_'17,0.4
Oct_'17,0.41
Sep_'17,0.42
Aug_'17,0.42
Jul_'17,0.46
Jun_'17,0.48
Apr_'17,0.38
Mar_'17,0.41
Feb_'17,0.4
Jan_'17,0.4
Dec_'16,0.43
Nov_'16,0.44
Oct_'16,0.45
Sep_'16,0.45
Aug_'16,0.42
Jul_'16,0.47
Jun_'16,0.5
May_'16,0.4
Apr_'16,0.38
Mar_'16,0.38
Feb_'16,0.37
Jan_'16,0.37
Dec_'15,0.37
Nov_'15,0.39
Oct_'15,0.38
Sep_'15,0.4
Aug_'15,0.41
Jul_'15,0.44
Jun_'15,0.5
May_'15,0.39
Apr_'15,0.42
Mar_'15,0.39
Feb_'15,0.37
Jan_'15,0.35
