Catastrophe,Loss_in_billion_U.S._dollars
Hurricane_Katrina_storm_surge_damage_to_oil_rigs_-_US_Gulf_of_Mexico_(2005),82.39
Earthquake_(Mw_9.0)_triggers_tsunami_-_Japan_(2011),38.13
Hurricane_Maria_-_US_Puerto_Rico_U.S._Virgin_Island_Caribbean_(2017),32.0
Hurricane_Sandy_storm_surge_-_US_Caribbean_Canada_(2012),30.14
Hurricane_Irma_-_US_Puerto_Rico_U.S._Virgin_Island_Caribbean_(2017),30.0
Hurricane_Harvey_-_US_(2017),30.0
Hurricane_Andrew_floods_-_US_Bahamas_(1992),27.94
Terror_attack_on_WTC_Pentagon_other_buildings_-_US_(2001),25.99
Northridge_earthquake_(Mw_6.7)_-_US_(1994),25.29
Hurricane_Ike_floods_damage_to_oil_rigs_-_US_Caribbean_Gulf_of_Mexico_(2008),23.05
Earthquake_(Mw_6.1)_aftershocks_-_New_Zealand_(2011),19.07
Hurricane_Ivan;_damage_to_oil_rigs_-_US_Caribbean_Venezuela_(2004),16.76
Heavy_monsoon_rains_extreme_flooding_-_Thailand_(2011),16.34
Hurricane_Wilma_torrential_rains_flooding_-_US_Mexico_Caribbean_(2005),15.77
Hurricane_Rita_floods_damage_to_oil_rigs_-_US_Gulf_of_Mexico_(2005),13.48
Drought_in_the_Corn_Belt_-_US_(2012),11.74
Hurricane_Charley_-_US_Caribbean_Gulf_of_Mexico_(2004),10.24
Typhoon_Mireille/No._19_-_Japan_(1991),10.16
Hurricane_Hugo_-_US_Caribbean_(1989),9.04
Earthquake_(Mw_8.8)_triggers_tsunami_-_Chile_(2010),8.99
