Date,.,Hispanic,Black,White
3/25/2019,PEW,28.0,9.0,17
12/04/2017,PEW,23.0,15.0,17
4/11/2017,PEW,24.0,13.0,20
10/04/2015,PEW,28.0,23.0,15
7/20/2014,CNN,nan,nan,9
2/26/2014,PEW,33.0,26.0,22
11/15/2013,CBS/NYT,nan,nan,12
10/13/2013,PEW,21.0,24.0,17
5/31/2013,CBS/NYT,nan,nan,15
2/06/2013,CBS/NYT,nan,39.0,15
1/13/2013,PEW,44.0,38.0,20
10/31/2012,NES,38.0,38.0,16
10/19/2011,CBS/NYT,15.0,15.0,8
10/04/2011,PEW,29.0,25.0,17
9/23/2011,CNN,nan,nan,10
8/21/2011,PEW,28.0,35.0,15
3/01/2011,PEW,28.0,25.0,30
10/21/2010,CBS/NYT,nan,40.0,15
10/01/2010,CBS/NYT,nan,nan,17
9/06/2010,PEW,37.0,37.0,20
9/01/2010,CNN,nan,nan,21
4/05/2010,CBS/NYT,nan,nan,18
3/21/2010,PEW,26.0,37.0,20
2/12/2010,CNN,nan,nan,22
2/05/2010,CBS/NYT,nan,nan,16
1/10/2010,GALLUP,nan,nan,16
12/20/2009,CNN,nan,21.0,18
8/31/2009,CBS/NYT,nan,nan,21
6/12/2009,CBS/NYT,nan,nan,16
12/21/2008,CNN,nan,nan,22
10/15/2008,NES,34.0,28.0,30
10/13/2008,CBS/NYT,nan,nan,18
7/09/2007,CBS/NYT,nan,11.0,25
1/09/2007,PEW,35.0,20.0,32
10/08/2006,CBS/NYT,nan,nan,31
9/15/2006,CBS/NYT,nan,nan,31
2/05/2006,PEW,nan,26.0,36
1/20/2006,CBS/NYT,nan,19.0,34
1/06/2006,GALLUP,nan,nan,33
12/02/2005,CBS/NYT,nan,nan,35
9/11/2005,PEW,nan,12.0,32
9/09/2005,CBS/NYT,nan,12.0,29
6/19/2005,GALLUP,nan,nan,32
10/15/2004,NES,nan,34.0,50
3/21/2004,PEW,nan,17.0,41
10/26/2003,GALLUP,nan,nan,39
7/27/2003,CBS/NYT,nan,19.0,37
10/15/2002,NES,nan,41.0,58
9/04/2002,GALLUP,nan,nan,46
9/02/2002,CBS/NYT,nan,nan,39
7/13/2002,CBS/NYT,nan,nan,39
6/17/2002,GALLUP,nan,nan,48
1/24/2002,CBS/NYT,nan,nan,48
12/07/2001,CBS/NYT,nan,nan,51
10/25/2001,CBS/NYT,nan,nan,60
10/06/2001,GALLUP,nan,nan,61
1/17/2001,CBS/NYT,nan,nan,33
10/15/2000,NES,nan,32.0,46
7/09/2000,GALLUP,nan,nan,41
4/02/2000,ABC/POST,nan,nan,28
2/14/2000,PEW,nan,36.0,40
10/03/1999,CBS/NYT,nan,nan,28
9/14/1999,CBS/NYT,nan,30.0,39
5/16/1999,PEW,nan,28.0,31
2/21/1999,PEW,nan,32.0,31
2/12/1999,ABC/POST,nan,nan,32
2/04/1999,GALLUP,nan,nan,33
1/10/1999,CBS/NYT,nan,37.0,35
1/03/1999,CBS/NYT,nan,39.0,31
12/01/1998,NES,57.0,36.0,38
11/19/1998,PEW,nan,27.0,26
11/01/1998,CBS/NYT,nan,29.0,22
10/26/1998,CBS/NYT,nan,26.0,25
8/10/1998,ABC/POST,nan,nan,33
2/22/1998,PEW,nan,42.0,33
2/01/1998,GALLUP,nan,nan,36
1/25/1998,CBS/NYT,nan,nan,25
10/31/1997,PEW,nan,39.0,38
6/01/1997,GALLUP,nan,31.0,32
1/14/1997,CBS/NYT,nan,15.0,24
11/02/1996,CBS/NYT,31.0,30.0,24
10/15/1996,NES,nan,35.0,32
5/12/1996,GALLUP,nan,nan,24
5/06/1996,ABC/POST,nan,nan,34
11/19/1995,ABC/POST,nan,nan,26
8/07/1995,GALLUP,nan,nan,22
8/05/1995,CBS/NYT,nan,24.0,19
