metropolitan_area,Percent_change_in_population
Austin-Round_Rock-Georgetown_TX,29.8
Raleigh-Cary_NC,23
Orlando-Kissimmee-Sanford_FL,22.2
Charleston-North_Charleston_SC,20.7
Houston-The_Woodlands-Sugar_Land_TX,19.4
North_Port-Sarasota-Bradenton_FL,19.2
San_Antonio-New_Braunfels_TX,19.1
Dallas-Fort_Worth-Arlington_TX,19
Phoenix-Mesa-Chandler_AZ,18
Charlotte-Concord-Gastonia_NC-SC,17.5
Nashville-Davidson--Murfreesboro--Franklin_TN,17.5
Denver-Aurora-Lakewood_CO,16.7
Las_Vegas-Henderson-Paradise_NV,16.2
Jacksonville_FL,15.9
Seattle-Tacoma-Bellevue_WA,15.7
Tampa-St_Petersburg-Clearwater_FL,14.8
Atlanta-Sandy_Springs-Alpharetta_GA,13.9
Salt_Lake_City_UT,13.3
Oklahoma_City_OK,12.4
McAllen-Edinburg-Mission_TX,12.1
