notifiable_disease,Funding_in_million_U.S._dollars
Total,4055.0
HIV/AIDS,1451.0
Tuberculosis,685.0
Malaria,663.0
Diarrhoeal_diseases,171.0
Kinetoplastids,149.0
Bacterial_pneunomia/meningitis,92.0
Salmonella_infections,90.0
Worms_and_flukes,89.0
Dengue_fever,80.0
Hepatitis_C_genotype_45_and_6,46.0
Leprosy,10.0
Cryptococcal_meningitis,7.7
Snakebite_envenoming,6.6
Hepatitis_B,5.7
Buruli_ulcer,3.3
Trachoma,2.1
Leptospirosis,1.7
Rheumatic_fever,1.7
Mycetoma,0.9
Platform_technologies,43.0
Multi-disease_vector_control_products,31.0
Core_funding_of_a_multidisease_R&D_organization,363.0
Unspecified_disease,63.0
