baseball_team,Soft_drink_price_in_U.S._dollars
St._Louis_Cardinals_(21),6.25
Cincinnati_Reds_(24),6.25
Los_Angeles_Dodgers_(20),6.0
New_York_Mets_(20),5.75
San_Diego_Padres_(20),5.5
Atlanta_Braves_(22),5.5
Chicago_White_Sox_(24),5.5
Texas_Rangers_(20),5.5
San_Francisco_Giants_(16),5.5
Chicago_Cubs_(20),5.25
Boston_Red_Sox_(16),5.25
Seattle_Mariners_(16),5.25
Houston_Astros_(21),5.0
Tampa_Bay_Rays_(22),5.0
Philadelphia_Phillies_(20),5.0
Milwaukee_Brewers_(24),5.0
Oakland_Athletics_(16),5.0
Detroit_Tigers_(16),4.75
MLB_league_average_(19),4.6
Colorado_Rockies_(26),4.5
Kansas_City_Royals_(16),4.0
Toronto_Blue_Jays_(20),3.94
Cleveland_Indians_(12),3.75
Pittsburgh_Pirates_(16),3.5
Los_Angeles_Angels_(16),3.5
New_York_Yankees_(12),3.0
Washington_Nationals_(22),3.0
Miami_Marlins_(24),3.0
Minnesota_Twins_(16),2.0
Arizona_Diamondbacks_(12),2.0
Baltimore_Orioles_(12),1.5
