Month,Number_of_deaths
Dec_17_2020,0
Dec_16_2020,10
Dec_15_2020,15
Dec_14_2020,11
Dec_13_2020,10
Dec_12_2020,8
Dec_11_2020,7
Dec_10_2020,7
Dec_9_2020,10
Dec_8_2020,7
Dec_7_2020,6
Dec_6_2020,9
Dec_5_2020,10
Dec_4_2020,7
Dec_3_2020,11
Dec_2_2020,6
Dec_1_2020,10
Nov_30_2020,7
Nov_29_2020,11
Nov_28_2020,6
Nov_27_2020,8
Nov_26_2020,4
Nov_25_2020,8
Nov_24_2020,6
Nov_23_2020,3
Nov_22_2020,6
Nov_21_2020,5
Nov_20_2020,4
Nov_19_2020,3
Nov_18_2020,5
Nov_17_2020,2
Nov_16_2020,4
Nov_15_2020,3
Nov_14_2020,5
Nov_13_2020,1
Nov_12_2020,1
Nov_11_2020,1
Nov_10_2020,2
Nov_9_2020,4
Nov_8_2020,4
Nov_7_2020,1
Nov_6_2020,4
Nov_5_2020,3
Nov_4_2020,5
Nov_3_2020,3
Nov_2_2020,4
Nov_1_2020,1
Oct_31_2020,2
Oct_30_2020,1
Oct_29_2020,2
Oct_28_2020,3
Oct_27_2020,2
Oct_26_2020,3
Oct_25_2020,3
Oct_24_2020,3
Oct_23_2020,5
Oct_22_2020,4
Oct_21_2020,4
Oct_20_2020,3
Oct_19_2020,1
Oct_18_2020,3
Oct_17_2020,5
Oct_16_2020,2
Oct_15_2020,0
Oct_14_2020,1
Oct_13_2020,1
Oct_12_2020,3
Oct_11_2020,2
Oct_10_2020,3
Oct_9_2020,1
Oct_8_2020,2
Oct_7_2020,1
Oct_6_2020,0
Oct_5_2020,2
Oct_4_2020,3
Oct_3_2020,3
Oct_2_2020,2
Oct_1_2020,2
Sep_30_2020,0
Sep_29_2020,1
Sep_28_2020,1
Sep_27_2020,0
Sep_26_2020,1
Sep_25_2020,1
Sep_24_2020,2
Sep_23_2020,1
Sep_22_2020,2
Sep_21_2020,1
Sep_20_2020,3
Sep_19_2020,3
Sep_18_2020,0
Sep_17_2020,0
Sep_16_2020,1
Sep_15_2020,1
Sep_14_2020,0
Sep_13_2020,2
Sep_12_2020,1
Sep_11_2020,1
Sep_10_2020,0
Sep_9_2020,1
Sep_8_2020,0
Sep_7_2020,0
Sep_6_2020,1
Sep_5_2020,0
Sep_4_2020,0
Sep_3_2020,1
Sep_2_2020,0
Sep_1_2020,0
Aug_31_2020,2
Aug_30_2020,0
Aug_29_2020,0
Aug_28_2020,0
Aug_27_2020,0
Aug_26_2020,0
Aug_25_2020,1
Aug_24_2020,0
Aug_23_2020,0
Aug_22_2020,1
Aug_21_2020,1
Aug_20_2020,0
Aug_19_2020,0
Aug_18_2020,0
Aug_17_2020,0
Aug_16_2020,0
Aug_15_2020,0
Aug_14_2020,0
Aug_13_2020,0
Aug_12_2020,0
Aug_11_2020,0
Aug_10_2020,1
Aug_9_2020,2
Aug_8_2020,1
Aug_7_2020,0
Aug_6_2020,0
Aug_5_2020,1
Aug_4_2020,0
Aug_3_2020,0
Aug_2_2020,0
Aug_1_2020,0
Jul_31_2020,1
Jul_30_2020,0
Jul_29_2020,1
Jul_28_2020,1
Jul_27_2020,0
Jul_26_2020,0
Jul_25_2020,0
Jul_24_2020,0
Jul_23_2020,0
Jul_22_2020,2
Jul_21_2020,0
Jul_20_2020,0
Jul_19_2020,0
Jul_18_2020,0
Jul_17_2020,1
Jul_16_2020,0
Jul_15_2020,0
Jul_14_2020,0
Jul_13_2020,0
Jul_12_2020,0
Jul_11_2020,0
Jul_10_2020,1
Jul_09_2020,0
Jul_08_2020,0
Jul_07_2020,0
Jul_06_2020,2
Jul_05_2020,0
Jul_04_2020,1
Jul_03_2020,0
Jul_02_2020,0
Jul_01_2020,0
Jun_30_2020,0
Jun_29_2020,0
Jun_28_2020,1
Jun_27_2020,0
Jun_26_2020,0
Jun_25_2020,1
Jun_24_2020,0
Jun_23_2020,1
Jun_22_2020,0
Jun_21_2020,0
Jun_20_2020,1
Jun_19_2020,1
Jun_18_2020,1
Jun_17_2020,1
Jun_16_2020,1
Jun_15_2020,0
Jun_14_2020,1
Jun_13_2020,0
Jun_12_2020,3
Jun_11_2020,1
Jun_10_2020,0
Jun_09_2020,0
Jun_08_2020,0
Jun_07_2020,2
Jun_06_2020,3
Jun_05_2020,2
Jun_04_2020,4
Jun_03_2020,1
Jun_02_2020,1
Jun_01_2020,3
May_31_2020,2
May_30_2020,4
May_29_2020,1
May_28_2020,0
May_27_2020,1
May_26_2020,3
May_25_2020,0
May_24_2020,1
May_23_2020,1
May_22_2020,1
May_21_2020,0
May_20_2020,5
May_19_2020,2
May_18_2020,3
May_17_2020,3
May_16_2020,3
May_15_2020,6
May_14_2020,0
May_13_2020,5
May_12_2020,7
May_11_2020,4
May_10_2020,5
May_09_2020,3
May_08_2020,4
May_07_2020,6
May_06_2020,6
May_05_2020,3
May_04_2020,7
May_03_2020,9
May_02_2020,8
May_01_2020,11
Apr_30_2020,9
Apr_29_2020,9
Apr_28_2020,10
Apr_27_2020,9
Apr_26_2020,5
Apr_25_2020,5
Apr_24_2020,6
Apr_23_2020,10
Apr_22_2020,14
Apr_21_2020,12
Apr_20_2020,7
Apr_19_2020,6
Apr_18_2020,10
Apr_17_2020,9
Apr_16_2020,12
Apr_15_2020,10
Apr_14_2020,12
Apr_13_2020,16
Apr_12_2020,11
Apr_11_2020,11
Apr_10_2020,16
Apr_09_2020,13
Apr_08_2020,15
Apr_07_2020,12
Apr_06_2020,17
Apr_05_2020,12
Apr_04_2020,15
Apr_03_2020,20
Apr_02_2020,18
Apr_01_2020,22
Mar_31_2020,15
Mar_30_2020,11
Mar_29_2020,8
Mar_28_2020,9
Mar_27_2020,12
Mar_26_2020,12
Mar_25_2020,6
Mar_24_2020,6
Mar_23_2020,6
Mar_22_2020,3
Mar_21_2020,3
Mar_20_2020,4
Mar_19_2020,5
Mar_18_2020,4
Mar_17_2020,1
Mar_16_2020,1
Mar_15_2020,2
Mar_14_2020,1
Mar_13_2020,0
Mar_12_2020,0
Mar_11_2020,1
