Postsecondary_Program_Enrollment_Category,Number_of_interntional_students
Business_management_and_public_administration,83817
Architecture_engineering_and_related_technologies,49785
Humanities,31212
Social_and_behavioural_sciences_and_law,30840
Mathematics_computer_and_information_sciences,27612
Physical_and_life_sciences_and_technologies,23118
Health_and_related_fields,14175
Visual_and_performing_arts_and_communications_technologies,8757
Agriculture_natural_resources_and_conservation,5529
Other_instructional_programs,4500
Personal_improvement_and_leisure,4332
Education,3219
Personal_protective_and_transportation_services,2814
