Month,Index_level
Jul_'20,109.8
Jun_'20,109.7
May_'20,109.6
Apr_'20,109.4
Mar_'20,109.3
Feb_'20,109.1
Jan_'20,109.1
Dec_'19,108.9
Nov_'19,108.7
Oct_'19,108.6
Sep_'19,108.4
Aug_'19,108.3
Jul_'19,108.2
Jun_'19,108.1
May_'19,108.0
Apr_'19,107.8
Mar_'19,107.7
Feb_'19,107.6
Jan_'19,107.4
Dec_'18,107.4
Nov_'18,107.2
Oct_'18,107.1
Sep_'18,107.0
Aug_'18,106.9
Jul_'18,106.8
Jun_'18,106.7
May_'18,106.6
Apr_'18,106.5
Mar_'18,106.4
Feb_'18,106.4
Jan_'18,106.3
Dec_'17,106.2
Nov_'17,106.2
Oct_'17,106.1
Sep_'17,106.0
Aug_'17,105.9
Jul_'17,105.8
Jun_'17,105.6
May_'17,105.5
Apr_'17,105.4
Mar_'17,105.3
Feb_'17,105.2
Jan_'17,105.1
Dec_'16,104.9
Nov_'16,104.7
Oct_'16,104.5
Sep_'16,104.3
Aug_'16,104.1
Jul_'16,103.8
Jun_'16,103.7
May_'16,103.6
Apr_'16,103.4
Mar_'16,103.1
Feb_'16,102.9
Jan_'16,102.7
