number,File_No,title,img,data,Gold Standard,TAB-BART,TAB-T5,OCR-T5
0,two_col-10626.txt,Real Gross Domestic Product (GDP) of the federal state of Indiana from 2000 to 2019 (in billion U.S. dollars),statista/dataset/imgs/two_col-10626.png,statista/dataset/data/two_col-10626.csv,"This statistic shows the development of Indiana's real GDP from 2000 to 2019. In 2019, the real GDP of Indiana was 332.04 billion U.S. dollars.","This statistic shows the development of Indiana's real GDP from 2000 to 2019. In 2019, the real GDP of Indiana was 332.04 billion U.S. dollars.","This statistic shows the development of Indiana's real GDP from 2000 to 2019. In 2019, the real GDP of Indiana was 332.04 billion U.S. dollars.","This statistic shows the development of Indiana's real GDP from 2000 to 2019. In 2019, the real GDP of Indiana was 329.3 billion U.S. dollars."
1,two_col-4778.txt,Iran: Share of economic sectors in gross domestic product (GDP) in 2017,statista/dataset/imgs/two_col-4778.png,statista/dataset/data/two_col-4778.csv,"This statistic shows the share of economic sectors in Iran's gross domestic product (GDP) in 2017. All figures are estimates. In 2017, agriculture was estimated to contribute 9.6 percent to Iran's GDP.","This statistic shows Iran's share of economic sectors in gross domestic product (GDP) in 2017. In 2017, the share of Iran's agricultural sector in GDP was 9.6 percent, industry contributed approximately 35.3 percent and the services sector contributed about 55 percent.","This statistic shows the share of economic sectors in gross domestic product (GDP) in Iran in 2017. In 2017, the share of the services sector in Iran's gross domestic product was 55 percent.","This statistic shows the share of economic sectors in gross domestic product (GDP) in Iran in 2017. In 2017, the share of agriculture in Iran's gross domestic product was 9.6 percent."
2,two_col-24075.txt,"Ranking of film distributors in France in 2019, according to their market share",statista/dataset/imgs/two_col-24075.png,statista/dataset/data/two_col-24075.csv,"This bar chart shows the top ten distributors of films in France in 2019, by market share. That year, Warner Bros came in second position of this ranking with 10.3 percent of the market share in France.","The Walt Disney Company was the leading film distributor in France in 2019, with a market share of 25 percent. Warner Bros. followed with 10.3 percent. Universal Pictures International and Sony Pictures Home Entertainment followed with 7.9 and 6.8 percent, respectively.","This statistic shows a ranking of film distributors in France in 2019, according to their market share. The Walt Disney Company was the leading film distributor in France in 2019, with a market share of 25 percent. Warner Bros. followed with a market share of 10.3 percent.","This statistic shows a ranking of the leading film distributors in France in 2019, according to their market share. The Walt Disney Company ranked first with a market share of 25 percent, followed by Warner Bros. with a market share of 10.3 percent."
3,two_col-7798.txt,Estimated net worth of the wealthiest video game industry entrepreneurs worldwide as of July 2016 (in billion U.S. dollars),statista/dataset/imgs/two_col-7798.png,statista/dataset/data/two_col-7798.csv,"The graph shows the estimated net worth of the wealthiest entrepreneurs in the video game industry worldwide as of July 2016. According to the source, Ma Huateng, the founder and chairman as well as CEO of Tencent, was worth 21.9 billion U.S. dollars in the measured period. Overall, Tencent reported 70.84 billion Chinese yuan revenue from its online games in 2016. Tencent is famous for expanding its operations, and so it comes as no surprise that the company spends millions of dollars on acquisitions of many international gaming companies. As of June 2016, Tencent invested over 700 million U.S. dollars combined in Epic Games, Riot Games and Activision Blizzard.","The statistic presents information on the estimated net worth of the wealthiest video game industry entrepreneurs worldwide as of July 2016. During the measured period, Ma Huateng, founder of Tencent, was the richest video game entrepreneur worldwide with an estimated worth of 21.9 billion U.S. dollars.","This statistic presents the estimated net worth of the wealthiest video game industry entrepreneurs worldwide as of July 2016. As of that month, Ma Huateng, founder of Tencent, was the wealthiest video game industry entrepreneur with an estimated net worth of 21.9 billion U.S. dollars.","This statistic presents the estimated net worth of the wealthiest video game industry entrepreneurs worldwide as of July 2016. According to the source, Ma Huateng of Tencent had an estimated net worth of 21.9 billion U.S. dollars."
4,two_col-3018.txt,"How much electricity is generated from a unit of coal, natural gas and oil in the U.S.? (in kilowatt hours)",statista/dataset/imgs/two_col-3018.png,statista/dataset/data/two_col-3018.csv,"The amount of fuel used to generate electricity depends on the efficiency of the power plant and the heat content of the fuel. Heat rate measures the efficiency of a generator or power plant and is based on the amount of energy used to generate one kilowatt of electricity. Heat rates (power plant efficiencies) depend on generator type, power plant emission controls, and some other factors. One metric ton of coal can generate 1,927 kilowatt hours of electricity, in comparison to 1,000 cubic feet of natural gas which can generate 99 kilowatt hours.","The statistic shows how much electricity is generated from a unit of coal, natural gas and oil in the United States in kilowatt hours in 2019. In that year, the U.S. electricity generation from a metric ton of coal amounted to about 1,000 cubic feet of natural gas.","This statistic represents the electricity generation in the United States from coal, natural gas and oil units. In that year, the United States generated about 1.9 metric ton of electricity from one barrel of residual fuel oil.","This statistic shows how much electricity is generated from a unit of coal, natural gas and oil in the U.S. In 2019, about 1,192.7 metric tons of coal was used for electricity generation."
5,two_col-14791.txt,Number of people globally that suffered from select mental health or substance use disorders as of 2017 (in millions),statista/dataset/imgs/two_col-14791.png,statista/dataset/data/two_col-14791.csv,"This statistic depicts the number of people worldwide with select mental health and substance use disorders as of 2017. According to the data, a total of 284 million people worldwide suffered from anxiety as of this time.",This statistic depicts the number of people worldwide that suffered from select mental health or substance use disorders as of 2017. It was estimated that around 970 million people worldwide suffered from any mental or substance abuse disorder as of that year.,"This statistic shows the number of people worldwide that suffered from select mental health or substance use disorders as of 2017. As of that year, around 970 million people suffered from any mental or substance use disorder.","This statistic shows the number of people worldwide that suffered from select mental health or substance use disorders as of 2017. As of that year, around 970 million people worldwide suffered from any mental or substance use disorder."
6,two_col-13546.txt,Value growth of personal care products due to coronavirus COVID-19 among urban citizens in Vietnam in 2020,statista/dataset/imgs/two_col-13546.png,statista/dataset/data/two_col-13546.csv,"After the COVID-19 outbreak, also commonly known as coronavirus, mouthwash had a value growth of 75 percent, followed by soap, shower gel, hand wash and paper towels. Nevertheless, a survey conducted among urban citizens showed that the majority of the respondents have decreased their frequency of visiting supermarkets, grocery stores and wet markets.","As a result of the coronavirus COVID-19 pandemic, the value of mouthwash grew by 78 percent among urban citizens in Vietnam in 2020 compared to the previous year. Soap, shower gel and hand soap also grew by 45 and 35 percent, respectively.","In 2020, the value of mouthwash grew by 78 percent among urban citizens in Vietnam. In the same year, the value of soap, shower gel and hand soap grew by 45 percent among urban citizens in Vietnam.","As a result of the coronavirus COVID-19, the value of personal care products sold in urban areas in Vietnam increased by 78 percent in 2020 compared to the previous year. The value of mouthwash grew by 45 percent compared to the previous year. For further information about the coronavirus (COVID-19) pandemic, please visit our dedicated Facts and Figures page."
7,two_col-21305.txt,"Estimated global interventional cardiology market in 2013, by product type (in million U.S. dollars)",statista/dataset/imgs/two_col-21305.png,statista/dataset/data/two_col-21305.csv,"This statistic shows the size of the interventional cardiology market worldwide in 2013, by product type. In that year, the PTCA (percutaneous transluminal coronary angioplasty) balloons market generated a revenue of some 800 million U.S. dollars worldwide.","This statistic depicts the estimated global interventional cardiology market in 2013, by product type. In that year, the global market for stents was estimated to be valued at some 5.1 billion U.S. dollars.","This statistic depicts the estimated global interventional cardiology market in 2013, by product type. In that year, the global interventional cardiology market was estimated to be worth around 5.1 billion U.S. dollars.","This statistic depicts the estimated global interventional cardiology market in 2013, by product type. In that year, the global interventional cardiology market was estimated to be worth about 5.18 billion U.S. dollars."
8,two_col-14472.txt,Percentage of income held by the richest 20% of the population in the Dominican Republic from 2010 to 2016,statista/dataset/imgs/two_col-14472.png,statista/dataset/data/two_col-14472.csv,"In 2016, it was estimated that around 51.5 percent of the income generated in the Dominican Republic was held by the richest 20 percent of its population. This share has shown a slight upward tendency since 2014, when it stood at 50.2 percent. The level of wealth concentration was also high among other Latin American countries.","In 2016, it was estimated that more than 51 percent of the income generated in the Dominican Republic was held by the richest 20 percent of its population. This share has been continuously increasing since 2010, when it amounted to 52.9 percent. The level of wealth concentration was also high among other Latin American countries.","This statistic shows the percentage of income held by the richest 20 percent of the population in the Dominican Republic from 2010 to 2016. In 2016, 51.5 percent of the income generated in the Dominican Republic was held by the richest 20 percent of the population.","This statistic shows the percentage of income held by the richest 20% of the population in the Dominican Republic from 2010 to 2016. In 2016, 52.6 percent of the income in the Dominican Republic was held by the richest 20 percent of the population."
9,two_col-16521.txt,Global netbook shipments from 2008 to 2013 (in million units),statista/dataset/imgs/two_col-16521.png,statista/dataset/data/two_col-16521.csv,"The forecast illustrates the number of global netbook shipments between 2008 and 2013. In 2008, netbook vendors shipped 16 million devices worldwide. Global netbook shipment is expected to decline over the next few years as tablet PCs take market share away.","The statistic shows global netbook shipments from 2008 to 2013. In 2009, 34 million netbooks were shipped worldwide.","The statistic shows the global netbook shipments from 2008 to 2013. In 2009, 34 million netbook units were shipped worldwide.","The statistic shows the global netbook shipments from 2008 to 2013. In 2012, netbook shipments amounted to 26 million units worldwide."
